"","MAL13P1.124","MAL13P1.179","MAL13P1.206","MAL13P1.262","MAL7P1.171","MAL7P1.18","MAL7P1.29","MAL7P1.75","MAL7P1.94","MAL8P1.105","MAL8P1.91","PF07_0074","PF08_0032","PF10_0084","PF10_0085","PF10_0111","PF10_0191","PF10_0374","PF11_0079","PF11_0087","PF11_0090","PF11_0162","PF11_0214","PF11_0260","PF11_0290","PF11_0435","PF11_0527","PF13_0032","PF13_0095","PF13_0170","PF13_0219","PF14_0041","PF14_0071","PF14_0112","PF14_0360","PF14_0499","PF14_0552","PF14_0593","PF14_0642","PF14_0713","PF14_0730","PFA0330w","PFA0430c","PFB0175c","PFB0295w","PFB0920w","PFC0090w","PFC0375c","PFC0400w","PFC0760c","PFC0965w","PFC0980c","PFD0470c","PFD0545w","PFE0165w","PFE0430w","PFE0450w","PFE0815w","PFE1255w","PFE1280w","PFE1340w","PFE1390w","PFF0200c","PFF0490w","PFF0595c","PFF0875w","PFF0965c","PFF1150w","PFF1280w","PFI1425w","PFL0580w","PFL1270w","PFL2055w","PFL2200w","PFL2520w","D_class","Class","Compound"
"W7_H6"," 0.406088887","-0.1207505982"," 1.05244464"," 0.1450520528"," 0.0005939862"," 0.102996343","-0.603599077"," 0.045461588"," 0.085618731"," 0.193387289","-0.953774802","-0.572936898","-0.4715902490"," 1.209153202","-0.489473242"," 0.120363975"," 0.254786078","-1.352267331","-0.619697742"," 0.321600182","-0.378842872"," 0.054485484"," 0.499516606","-0.6289057697"," 0.006864363"," 1.010274245"," 0.11948086","-0.282130517"," 0.67892845"," 0.699508379","-0.655646445"," 0.475810888","-0.0365299371","-4.168990e-01"," 0.582204159","-0.075121963"," 0.3498662489"," 0.3996933173","-0.486872928","-0.366173163","-1.216671977","-0.184015978"," 0.710597628","-0.249197686","-0.7384327597","-1.482456116","-0.327253364","-0.106437944","-0.774093755"," 0.201548776"," 0.296321963"," 0.328346880"," 1.275041600"," 0.445853305","-0.074398425","-0.349035253","-0.075711904","-1.392801471","-0.2262872469"," 0.044447831"," 7.348697e-01","-1.3557794062","-0.09543778"," 0.326731079","-0.077944951","-0.2557164451"," 0.001115655"," 0.107752384","-0.331657167"," 0.545284918"," 0.362255515"," 0.860726889"," 0.456161128"," 0.72326249"," 0.763929750",4,3,"W_7"
"W7_H8"," 0.768881766","-0.3250341949"," 1.18058197","-0.3372981832","-0.5632764211"," 1.092836318","-0.307559237","-0.128367014","-0.280976043","-0.120115508","-0.664049085"," 0.063728089"," 0.8261027970"," 1.376308764","-0.814725510"," 0.581308260"," 0.371158075"," 0.640287957","-0.269592076"," 1.545339756","-0.824134657"," 0.370578327"," 0.612621308","-1.7278072132"," 0.151754048"," 0.497128177","-0.22135397","-0.010779895"," 0.86882560"," 0.108724481","-0.927424375"," 0.597612309","-0.6824345593","-7.784649e-01"," 0.618541382"," 0.401755594"," 0.3746108290"," 0.8755045709"," 1.003989173"," 1.152410138","-1.239010220"," 0.071396871"," 1.544571490","-1.015395064","-0.9412280766","-1.120226781","-0.687618824","-0.076184509","-1.671028126"," 0.499898922"," 0.085726924"," 0.955433809"," 1.973724075"," 0.499296511","-0.150300263","-0.562912150"," 0.067872431","-0.391026047"," 0.0345801817","-0.703375258","-4.264894e-01","-0.8669825930","-0.15501034"," 1.339631027","-0.955987708","-0.5431188669"," 0.162043656","-0.125613237","-0.639988186"," 0.185446413"," 0.720643913"," 0.991345488","-0.596373724"," 0.57377861"," 0.570040719",4,3,"W_7"
"W7_H10"," 0.068050143","-0.2929938119"," 0.78224387"," 0.1127308532","-0.1180141418"," 0.103086442","-0.048177863","-0.758148177","-0.410422505","-0.446451183"," 0.126178496"," 0.580041291","-0.3246450913"," 0.264083158","-0.944577885"," 0.500075179","-0.003844772"," 0.141733598"," 0.431891569"," 0.583489041","-0.364798957","-0.511612236","-0.299062334","-0.9229809698"," 0.352786278"," 0.162470247"," 0.35577131"," 0.137057638"," 0.04001783","-0.034135851"," 0.178964209"," 0.703059973"," 0.2824104965","-1.369292e-01"," 0.025439732"," 0.022443500"," 0.6919132589"," 0.1544511711"," 1.018942589","-0.083385703","-0.626489005","-0.573124984"," 0.298819545","-0.159246158","-0.9440550734","-0.944428485","-0.369305800","-0.132923816","-1.042046723","-0.154633021","-0.059799196"," 0.542548707"," 0.110424416","-0.168746833","-0.659424167","-0.364422979","-0.411608131","-0.194258044","-0.2018225822"," 0.013698317"," 2.457125e-01","-0.5057807920","-0.12448520"," 0.375957015","-0.062913359","-0.2861795928"," 0.566730926"," 0.265138970","-0.113160805","-0.652405328"," 0.600901893"," 1.177685035"," 0.319523105"," 0.20285799"," 0.132040583",4,3,"W_7"
"W7_H12"," 0.226112742","-0.4466425083"," 0.75318358"," 0.2778749671","-0.2903239078"," 0.488418735"," 0.504812351","-0.033804866","-0.307126160","-0.059778765","-0.592922306"," 0.372018864"," 0.5351234439"," 0.905941041","-0.899939682"," 0.225449479","-0.089769655"," 1.277160916"," 0.078062445"," 0.892704211","-0.558812508"," 0.120982976","-0.173511093","-0.8929614097"," 0.136241915"," 0.438123692"," 0.17280701","-0.099433582"," 0.02111293"," 0.222782763","-0.409250331"," 0.129268281","-0.2128845858","-3.364588e-01"," 0.332386531"," 0.392132439"," 0.7554576168"," 0.5046630668"," 0.725791375","-0.113723835","-0.974418189","-0.116703648"," 0.937556489","-0.587417394","-0.6881613844","-1.101935602","-0.337020270","-0.417405280","-1.284844311"," 0.121430153"," 0.049489247"," 0.469710991"," 1.238355113"," 0.473936055","-0.745848850","-0.496387639"," 0.058639805"," 0.252681375","-0.4071690213","-0.509766225","-1.203511e-01","-0.4667522154","-0.32104685"," 1.562100681","-0.436503030","-0.4343693802"," 0.400707881","-0.180346920","-0.501379156"," 0.131612931"," 0.837012238"," 0.660779556","-0.241735475"," 0.11710607"," 0.098547090",4,3,"W_7"
"Staurosporine_H1"," 0.151460335"," 0.4863817385"," 0.53638397"," 0.0730580830"," 0.0235254814"," 0.296171209"," 0.055317501","-0.193231874"," 0.120273950"," 0.354288032","-0.567336863"," 0.426362602"," 0.1550873585"," 0.775094282","-0.032082640"," 0.789366495","-0.370467188"," 0.020725293","-1.017808819"," 0.686725096"," 0.085988870"," 0.605947479"," 0.147652696"," 0.0365342693"," 1.460407789"," 1.013402912"," 0.10126437","-1.206067988"," 1.15366070"," 1.006196741","-0.184392933"," 0.312088032","-0.1200778847","-7.874631e-01"," 0.048974931"," 0.069979702","-0.1861830639"," 0.2180301372","-0.068172860"," 0.007658657","-0.535738125"," 1.153872225"," 1.040383596"," 0.395118365","-0.2183534513","-0.209142034"," 0.020260163"," 0.097514473"," 0.482262193"," 0.642098552"," 0.832678101"," 0.222853313"," 0.757715046"," 0.436017310","-0.069386369"," 0.365375641","-0.043726844"," 0.151440897"," 0.3011345249","-0.112724108"," 5.127875e-01","-0.0243415011"," 0.67751398"," 0.281373217"," 0.509655950","-0.0471356010","-1.081005648","-0.639373929"," 0.157947241"," 0.207601080"," 0.457207086"," 0.621936392"," 0.769998250","-0.07316901"," 1.085454988",5,4,"Staurosporine"
"Staurosporine_H2"," 0.132678321"," 0.4797870090"," 0.37597378","-0.0310216916"," 0.2617060543"," 0.076172397"," 0.308104185"," 0.349711550"," 0.586765314"," 0.477692454","-0.813684540"," 0.370233242"," 0.1406071999"," 0.897786014"," 0.275862708"," 0.657056731"," 0.079049394"," 0.017285295","-1.332148220"," 0.729637790"," 0.002173771"," 0.504010456"," 0.265198102","-0.1373940486"," 0.861945691"," 1.237952525","-0.06652596","-0.566839326"," 1.25066355"," 0.787813777"," 0.059368713"," 0.258622088","-0.6657257516","-1.081739e+00"," 0.026837967"," 0.134592273","-0.4647706206"," 0.4211562508"," 0.032676219"," 0.289219962"," 0.054509790"," 1.353953203"," 0.873298633","-0.058625519","-0.4935007031"," 0.144078722","-0.353749425"," 0.380895763"," 0.285278172"," 0.717914894"," 0.809686369"," 0.261592726"," 1.021308508","-0.011081481","-0.678905998"," 0.272991102"," 0.250673951"," 0.317328423"," 0.5653420713"," 0.021000156"," 5.792641e-02","-0.1845435482"," 0.64575449"," 0.157622084"," 0.280799268"," 0.1870706989","-1.336130921","-0.654481885","-0.002503440"," 0.511625484"," 0.485632274"," 0.426785850"," 0.007393349"," 0.33914833","-0.141369695",5,4,"Staurosporine"
"Staurosporine_H4"," 0.070029021"," 0.2779781282"," 0.39719160","-0.3184632960"," 0.3375863893"," 0.119129146","-0.022237433","-0.014190384"," 0.145686841"," 0.057883159","-0.532256803","-0.240336131","-0.1164238096","-0.268343968"," 0.460182862"," 0.279819223","-0.300399371"," 0.331399243","-1.223104318"," 0.250792411"," 0.383418973"," 0.534219067"," 0.471978313","-0.4618153994"," 1.161689356"," 1.136284958","-0.01499715","-0.854097290"," 0.81664872"," 0.040710175"," 0.190361859"," 0.426526476","-0.1888429674","-8.277430e-01","-0.025575086"," 0.396871427","-0.2998992583"," 0.1231651563"," 0.018109113"," 0.246538131"," 0.189883561"," 0.518785550"," 0.741151745"," 0.371151366","-0.7623583925"," 0.244426466","-0.273776312"," 0.235835967","-0.149159395"," 0.357491501"," 0.175459527"," 0.493298531"," 0.226353240"," 0.032359682","-0.475326381"," 0.538124241"," 0.270970535","-0.050962039"," 0.3596716268","-0.358278416"," 1.075813e-01"," 0.0606282179"," 0.39755102"," 0.251768006"," 0.023282885","-0.3821245094","-0.967642259","-0.075129010","-0.189312340"," 0.020726438","-0.133268171"," 0.319264401","-0.033081473"," 0.21192037","-0.880352096",5,4,"Staurosporine"
"Staurosporine_H6"," 0.004952358"," 0.3059940113"," 0.42194562"," 0.1325624515"," 0.5560368841","-0.477440749","-0.644080933"," 0.726477845"," 0.543559474"," 0.214875841","-0.881820235","-0.498057607","-0.6447141545"," 0.472659537"," 0.383746187","-0.078870589"," 0.326114061","-1.441187445","-0.965163038","-0.035653705"," 0.331965054"," 0.151663511"," 0.080480947"," 0.1208793291"," 0.537737357"," 1.196854755","-0.20357202","-0.747216872"," 1.17072821"," 0.862047247"," 0.157245306"," 0.395529438","-0.3610452682","-7.830628e-01"," 0.083337873"," 0.024419776","-0.6614805797","-0.1293076525","-1.035592702","-0.295401476","-0.199775669"," 0.713391563"," 0.679821716"," 0.577317460","-1.0872605947","-0.429865893","-0.252464474"," 0.373461733"," 0.553467512"," 0.414686697"," 0.420200473"," 0.378447863"," 0.393991919"," 0.341960660","-0.643867048"," 0.484629473"," 0.349684506","-0.726345133"," 0.1344294623"," 0.204268255"," 5.877940e-01","-0.3164742993"," 0.42966816","-0.204027366"," 0.110044900"," 0.0460219198","-1.140527846","-0.459016158","-0.085121963"," 0.701142172"," 0.032626463"," 0.279204740"," 0.673245384"," 0.76930610","-1.858127301",5,4,"Staurosporine"
"Staurosporine_H8"," 0.061963673"," 0.1557445791","-0.44714879"," 0.0537055418"," 0.3198252662","-0.300427346","-0.473111894"," 0.278448001"," 0.115849479","-0.028560443","-0.560651475"," 0.769032497"," 0.0522798288"," 0.320539296","-0.459116387"," 0.159155708","-0.037720470"," 0.240194830","-0.552776967"," 0.758179593"," 0.115248314","-0.257051900"," 0.091222885"," 0.3388174101"," 0.303479340"," 0.673566141","-0.17286456","-0.851538678"," 0.94778864"," 0.278119217","-0.366620721"," 0.461812502","-0.1497320255","-2.587804e-01","-0.641359875"," 0.018263401","-0.6109407394","-0.3384177957"," 0.219941083"," 0.052918418","-0.054009186"," 0.509465367"," 1.029811199"," 0.368705576","-1.0511837590"," 0.111421384","-0.885241049"," 0.304188735"," 0.390404870"," 0.242672638"," 0.248488848"," 0.487222192"," 0.035410037"," 0.260022645","-1.387439523"," 0.538611887"," 0.602222545","-0.129192750"," 0.3420302650","-0.336397912"," 9.808222e-02"," 0.2933269556"," 0.47270778"," 0.121746953","-0.078960153"," 0.0625030871","-1.104322484"," 0.104828261"," 0.033992027"," 0.084762530","-0.105976309","-0.119571629","-0.046963207"," 0.07658413","-2.440822603",5,4,"Staurosporine"
"Staurosporine_H10","-0.059897290"," 0.1847171945","-0.14483590"," 0.0008938315"," 0.4446775567","-0.165419791","-0.163169439"," 0.523584992"," 0.018961723","-0.221322897","-0.010115530"," 0.715472944"," 0.0014451064","-0.060782071","-0.571493262"," 0.284765806"," 0.011942276","-0.066162873","-0.206961203"," 0.206665143"," 0.123865594","-0.345657870","-0.559848651"," 0.1574404118"," 0.610791571"," 0.614897123","-0.28372740"," 0.249313607"," 0.43913972"," 0.705971689"," 0.518770784"," 0.282017114","-0.3735363522","-3.398417e-01","-0.421091471"," 0.126600195","-0.6568642708"," 0.0219538802"," 0.554204380","-0.138930636"," 0.173497472"," 0.388134165"," 0.941255296"," 0.081955790","-1.5572772091","-0.179099805","-0.875348565"," 0.155390746"," 0.059895593"," 0.102206752","-0.034163649"," 0.371531017"," 0.099916806"," 0.208279281","-0.750591439"," 0.366735346"," 0.596062432"," 0.269002403","-0.0770512468","-0.086324848"," 2.191226e-01"," 0.3366777758"," 0.35148928"," 0.189703594","-0.292619980","-0.1471677285","-0.732918414","-0.010846951","-0.184007001"," 0.155517669"," 0.194455467","-0.198581190"," 0.045229367","-0.19412403","-1.510178311",5,4,"Staurosporine"
"Staurosporine_H12","-0.216564202","-0.5135580511","-0.95238872"," 0.6171378025"," 0.0286660334","-0.671407232","-0.202458669"," 0.103387676","-0.489143552","-0.652422369","-0.676019152"," 0.747780104"," 0.3927892183","-0.267657244","-1.164549356"," 0.169967444"," 0.128382927","-0.072826587"," 0.059223269"," 0.826463255","-0.276232814","-0.631756226","-0.417168826"," 0.1772746000"," 0.409261043"," 0.002388495","-0.09846165"," 0.274416430"," 0.76386837"," 0.480316870","-0.580015786","-0.313685890","-0.0761395253"," 3.467657e-01","-0.636475896"," 0.112046018"," 0.0699906836","-0.0837182870"," 0.680194680","-0.194558259","-0.056906788","-0.326334444"," 0.577048511","-0.040389161","-1.2722967574","-0.470390493","-1.068382827"," 0.172994957"," 0.037412200","-0.322793889","-0.640982721"," 0.489546607","-0.283158347"," 0.367090334","-1.304894858","-0.112048867"," 0.639333330"," 0.117035107","-0.1038576814","-0.111286635"," 1.278239e-01"," 0.9786075894","-0.23446345"," 0.515805495","-0.389849750","-0.4085707143"," 0.082988737","-0.694561434","-0.911710320","-0.354820438"," 0.011909157","-0.600159368","-0.145843712","-0.02173066","-1.913596124",5,4,"Staurosporine"
"Cyclosporine_H1"," 0.368769724","-0.5493278956"," 1.03618738","-0.3280190325","-0.0005270903","-0.019127933"," 0.417483483","-0.609683422","-0.562276351"," 0.080849093"," 0.185539250","-0.128746076"," 0.8055116027"," 0.180589703","-0.532219188"," 1.207203960","-0.458382618"," 1.011293231"," 0.464967693"," 0.567738024","-0.230898091","-0.667060140","-0.115201564","-0.3257420363"," 1.468803921","-0.534622181","-0.09113152","-0.549730021"," 0.01271036"," 0.579388199","-0.163520314","-0.163282930","-0.2029452511"," 4.551929e-01","-0.471443952","-0.303390755","-0.1369075659"," 0.0915364930","-0.350059504"," 1.077081427","-0.387086292"," 0.178437305","-0.009671135"," 0.503495298","-0.3365286350","-0.016688593"," 0.428755611"," 0.192195045","-1.063427845"," 0.698488690"," 0.583412829","-0.498003247","-0.483973372","-0.231571904","-0.594195082"," 0.037364330"," 0.006803604","-0.428859299","-0.2719901814"," 0.803765989"," 3.702836e-01","-0.0553646451"," 0.35800914","-0.115658197"," 0.305654992","-0.3585328669"," 0.132391681","-0.588648464","-0.089352653"," 0.322447916","-0.026874022"," 0.600793009"," 1.822190523","-0.28077751"," 0.231437829",6,5,"Cyclosporine"
"Cyclosporine_H2"," 0.301373712","-0.2536438966"," 0.56889482","-0.1620489114","-0.1385454763","-0.111764606","-0.034452998","-0.805358409","-0.350511621","-0.001954956"," 0.315829579","-0.024315570"," 0.1683857038","-0.228155873","-0.344137521","-0.010400623","-0.228551152"," 0.820602308"," 0.623298879","-0.021392405","-0.134930008","-0.329289406"," 0.246462681","-0.3159018895"," 1.156333437","-0.145645502","-0.07206720","-0.424618242","-0.14385907"," 0.027800614","-0.144862258","-0.289693636","-0.0480112260"," 6.815847e-01","-0.285768714","-0.415837538","-0.0135053439"," 0.3083563964","-0.272796983"," 0.567851074","-0.347906550"," 0.058902783"," 0.121713987"," 0.400974244","-0.1286670860","-0.087090313"," 0.281615743"," 0.040653801","-0.389414728"," 0.692894929"," 0.430721740"," 0.016625495","-0.507752804","-0.162732679","-0.160384831"," 0.204294988","-0.166717396","-0.021445492","-0.0864478388"," 0.570764068"," 7.810819e-02","-0.2310184599"," 0.04455787"," 0.020671084"," 0.091862609","-0.1564621043"," 0.110949573","-0.196589129","-0.407375531","-0.139231055","-0.354781215"," 0.122746870"," 1.021442272","-0.12035211"," 0.543894957",6,5,"Cyclosporine"
"Cyclosporine_H4"," 0.230110721","-0.4266984572"," 0.86984930","-0.2938187987","-0.3739454678","-0.258404993","-0.679281522","-0.781774851","-0.402702353"," 0.179092289"," 0.240021382","-0.281645022"," 0.3629084144","-0.028912789","-0.217843413"," 0.660655644","-0.279410701"," 0.138430164"," 0.567973954","-0.807298316"," 0.043294006","-0.435031542"," 0.070179988","-0.4532272236"," 1.733084603","-0.210581382","-0.02071482","-0.460035069","-0.23776087"," 0.413768312","-0.147200327","-0.123930758","-0.1561865269","-2.903683e-02","-0.356964695","-0.344848174","-0.0642509690"," 0.4062751036","-0.148700622"," 0.888138666","-0.705967453","-0.065232826"," 0.014148399"," 0.454879773","-0.1753244545","-0.055480465"," 0.206497838","-0.042274656","-0.675505467"," 0.716722454"," 0.444105890","-0.267761257","-0.465510978","-0.244757174"," 0.150880083"," 0.209308160","-0.002305715","-0.265417593","-0.0247440405"," 0.820195897"," 3.441568e-01","-0.1400351192"," 0.15803175"," 0.046186257","-0.013366325","-0.3053732604"," 0.069416498","-0.271476573","-0.188562730","-0.423583412","-0.073641472"," 0.462677825"," 1.575244678"," 0.36719950"," 0.655414404",6,5,"Cyclosporine"
"Cyclosporine_H6"," 0.132608385","-0.3909956274"," 1.12425231","-0.3631734960","-0.3388458662","-0.152834744","-0.366763379","-0.729128962","-0.423831972","-0.016427385"," 0.158434260","-0.020309413"," 0.5384224900","-0.268350375"," 0.003003495"," 0.986137848","-0.236817419"," 0.715920002"," 0.353732952"," 0.204068021","-0.116564631","-0.184148542"," 0.560326917","-0.3053650517"," 1.378663308"," 0.038967276"," 0.46122859","-0.599196639","-0.20493663","-0.237414492","-0.124828474","-0.159712311","-0.1778226264","-2.141715e-02","-0.488621173","-0.154932891","-0.1132100916"," 0.2443172492","-0.621033282"," 0.718928821","-0.298503135","-0.014608490"," 0.205066852"," 0.791097002","-0.3400793290"," 0.430375514","-0.186724553","-0.183727647","-0.197418542"," 0.642612011"," 0.569619503","-0.379625515","-0.088812782","-0.098819540","-0.076711533"," 0.221932274","-0.164114950","-0.427243223","-0.1071205671"," 0.726265968"," 1.197579e-01","-0.3042739821"," 0.54563196"," 0.020630396"," 0.119938566"," 0.1324635331"," 0.039324178","-0.499047918","-0.421098225","-0.556345240"," 0.016606343"," 1.179622773"," 1.194052334"," 0.13177850"," 1.094326834",6,5,"Cyclosporine"
"Cyclosporine_H8"," 0.451804920","-0.7871716053"," 1.09498767","-0.4097935683"," 0.0681407066"," 0.034053602"," 0.178853696","-0.780870223","-0.764609094"," 0.110745262"," 0.005714495","-0.291178406"," 0.7536653987"," 0.414796881","-0.188023197"," 0.614465511","-0.522232066"," 0.887189978"," 0.177384511"," 0.291342553","-0.082911938","-0.180798629","-0.232132139","-0.2666571356"," 1.321718707","-0.049188646"," 0.40509547","-0.387107064","-0.05772741"," 0.448957390"," 0.020854804","-0.347787148","-0.5078058901"," 1.488347e-01","-0.371833631","-0.239723807","-0.0796971217"," 0.3446686744","-0.765208036"," 1.157288984","-0.187916771"," 0.388388494"," 0.419453685"," 0.377734706","-0.3418191253"," 0.210262294"," 0.279610676"," 0.292400630","-0.767435430"," 0.903940835"," 0.594956612","-0.468392943","-0.268585894"," 0.199824997","-0.008102426"," 0.242647261","-0.212382303","-0.137160585","-0.0104412641"," 0.744241025"," 1.795227e-01","-0.1137695740"," 0.67345755"," 0.037001295"," 0.387756764"," 0.0001095511"," 0.027307867","-0.694455205","-0.139183686","-0.347095179","-0.235779271"," 0.746654584"," 0.496306934"," 0.11638677"," 1.108592567",6,5,"Cyclosporine"
"Cyclosporine_H10"," 0.420260927","-0.3391801897"," 0.68234926","-0.2534188556","-0.0173362178","-0.141954576","-0.352845327","-0.696164061","-0.444600635"," 0.072310937","-0.019419783","-0.138223968"," 0.5832018373"," 0.086917512","-0.059117632"," 0.064715098","-0.488510210","-0.888085043"," 0.419796554"," 0.442125233","-0.076127985","-0.156474425"," 0.069506692","-0.4388602734"," 1.165527244","-0.087875929","-0.26952995","-0.485703465","-0.16879826"," 0.373311854","-0.056573572","-0.394763500","-0.2216285274"," 1.338874e-01","-0.201801045","-0.443200059","-0.0126744695"," 0.1906254695","-0.317785538"," 0.754145881","-0.438911970"," 0.168101394"," 0.311748702"," 0.388146038","-0.2737580468"," 0.030080617","-0.041494484"," 0.248816106","-0.514321947"," 0.646114459"," 0.624503987","-0.161569934","-0.310342083"," 0.215657214","-0.047044822"," 0.379874665","-0.095238741","-0.263905549","-0.1368839800"," 0.269536950"," 1.015369e-01","-0.0997282845"," 0.21049606","-0.125555573"," 0.109730100","-0.4373431801"," 0.258721246","-0.634811173","-0.027095540","-0.121450279","-0.289925212"," 0.561609441"," 0.942643200"," 0.09215938"," 1.109520810",6,5,"Cyclosporine"
"Cyclosporine_H12"," 0.307436088","-0.2355470781"," 0.76569290","-0.3534521808","-0.3974784541","-0.027635873","-0.144180844","-0.625692700","-0.409933053"," 0.169758974"," 0.069698869","-0.293779659"," 0.4542511818","-0.046408794","-0.342742577"," 0.223141956","-0.398115705"," 0.787684362"," 0.475463730"," 0.072127788","-0.040945058","-0.309144764"," 0.271409832","-0.4750854462"," 1.645456257","-0.138901274","-0.24428952","-0.450294739","-0.23883171"," 0.235594843","-0.073384969","-0.081659826","-0.0983098309"," 2.280839e-01","-0.091274235","-0.531700826","-0.0141846338"," 0.1095067433","-0.345809057"," 0.909489570","-0.612866125"," 0.110580701"," 0.285604319"," 0.321884296","-0.4135848546","-0.157297061"," 0.086700881"," 0.252237062","-0.455576091"," 0.797861042"," 0.767383599"," 0.010506836","-0.395091529","-0.231890509"," 0.046169472"," 0.319921066","-0.224863047","-0.130535161","-0.1452221759"," 0.288513537"," 3.290546e-02","-0.2393163659"," 0.20801773"," 0.016259765","-0.083333380","-0.3521057173"," 0.117096079","-0.591677085"," 0.747687820","-0.373806291","-0.371385447"," 0.563318741"," 1.271568136"," 0.15931013"," 0.899113938",6,5,"Cyclosporine"
"Cyclosporine_H14"," 0.528734817","-0.4464169400"," 0.67482146","-0.4641640930","-0.2246667634"," 0.039200342","-0.436754322","-0.621857459","-0.637665569","-0.032396804","-0.048899230"," 0.170746347"," 0.4868181551","-0.027993330","-0.292733490","-0.265849434","-0.198027020"," 0.634491646"," 0.021317453"," 0.418076491"," 0.045205538","-0.486115316"," 0.181753023","-0.5225387117"," 1.516203183","-0.056244331"," 0.02271504","-0.591296977"," 0.00300129"," 0.120255784"," 0.026735266","-0.155929215","-0.3340917720"," 1.284038e-02","-0.132529915","-0.081914273"," 0.0381844895"," 0.0776350408","-0.604063051"," 0.938848317","-0.133503265"," 0.411158074"," 0.147906236"," 0.729357146","-0.6357977563","-0.034931189","-0.036314951"," 0.044485198","-0.559113190"," 0.894922291"," 0.551689345","-0.131025569","-0.033999459"," 0.064857129","-0.081840745"," 0.499326958","-0.019739670","-0.217616148","-0.1038519128","-0.577474422"," 2.966969e-02","-0.2521744762"," 0.32156310"," 0.062736848"," 0.261723407","-0.2565025271"," 0.089307946","-0.276714414"," 0.057097767","-0.237836777","-0.234843336"," 0.440593428"," 1.084759910"," 0.16779295"," 0.843331978",6,5,"Cyclosporine"
"Colchine_H1","-0.105673326","-0.2224055758"," 0.01690747"," 0.0994814451"," 0.4528711799"," 0.403854158","-0.045767421","-0.620774812","-0.557801375","-0.123587202","-0.092247237","-0.218961137"," 0.2467293061"," 0.265091823"," 0.043290847"," 0.047867413","-0.134592973","-0.195846122"," 0.002395310","-0.058918684"," 0.053869366","-0.259148708"," 0.054212609"," 0.3687693052"," 0.489438438","-0.141840555","-0.10905529"," 0.171546114","-0.21153986","-0.284824847","-0.237450158"," 0.433499658","-0.4904694396","-3.944865e-02"," 0.079060912"," 0.250704367","-0.0224941301"," 0.5396383528","-0.344198877","-0.092827463"," 0.507413678"," 0.262904423","-0.254545609","-0.296421886"," 0.2867754462"," 0.214717362"," 0.263162245"," 0.507042046"," 0.580927888"," 0.101349226"," 0.430847753","-0.503513013","-0.226383989"," 0.154979803","-0.196777767"," 0.124370121","-0.021935793"," 0.238573894","-0.1337724300"," 0.257512880"," 3.159327e-01","-0.3692140454"," 0.32814474"," 0.021291134"," 0.203561012","-0.1613477293"," 0.079003030","-0.028682864"," 0.603751339"," 0.009170612"," 0.298366829","-0.074746406"," 0.274174556"," 0.28824489"," 0.331999359",7,6,"Colchine"
"Colchine_H2","-0.062508419"," 0.0021557398"," 0.16812422"," 0.0151746991"," 0.0430039228"," 0.101005553","-0.063193112","-0.139124810","-0.151136628","-0.147223424","-0.309328141"," 0.020436322"," 0.2619593648"," 0.181996731","-0.037962081"," 0.459418693"," 0.006580137","-0.252976418","-0.102846388","-0.096524182","-0.079970477"," 0.041000649","-0.188071545"," 0.1453512720"," 0.023180707","-0.199229659"," 0.02368665"," 0.019691425","-0.02230266","-0.042958017","-0.122728100","-0.081499543","-0.1261524201","-1.145368e-01"," 0.091771746"," 0.098697533","-0.0325424682"," 0.2397125382","-0.114814631"," 0.101228047"," 0.146819645","-0.086705610","-0.148150204"," 0.183564827","-0.0647755137"," 0.060881760","-0.098539544"," 0.099166768"," 0.482748675","-0.030454709"," 0.178068424","-0.105938453","-0.141251816"," 0.138898276"," 0.109063019","-0.074421924"," 0.038213757"," 0.290097017","-0.1580992197"," 0.190288363"," 3.465024e-01","-0.2197578773"," 0.01323937","-0.292711270","-0.159959133","-0.0687264322","-0.022960508","-0.014569681"," 0.182258736","-0.050006373"," 0.091614678"," 0.047672213"," 0.290492169"," 0.02589517","-0.091949718",7,6,"Colchine"
"Colchine_H4","-0.001943864","-0.1608943753","-0.24936428"," 0.0188305716"," 0.1419696071"," 0.060784888","-0.025481183","-0.257673193","-0.132741774","-0.090647149","-0.123162223","-0.124935445","-0.0093554048","-0.002481938"," 0.266735401"," 0.382663256","-0.193933279","-0.391630702"," 0.079767047","-0.220609961"," 0.060325991"," 0.159456490","-0.119140232","-0.0660763624"," 0.340624945","-0.039350692","-0.04411301","-0.401212685"," 0.22523318"," 0.071737432","-0.008515589"," 0.138176431"," 0.0509103930","-1.357577e-01"," 0.125608230"," 0.246252502","-0.0641849422"," 0.2454836022"," 0.063272767","-0.034487899"," 0.053505392"," 0.148146853","-0.101030570"," 0.125254365","-0.0825718271","-0.070824115"," 0.094749696"," 0.282316375"," 0.049852150"," 0.063331753"," 0.068104479"," 0.100272916","-0.104830158","-0.203245626","-0.122923683"," 0.167243319"," 0.073469499"," 0.234459037"," 0.1124240257","-0.073962003"," 1.613721e-01","-0.0882998317"," 0.02199396","-0.101856280"," 0.016221601","-0.0388800825"," 0.092485672","-0.291973657","-0.064943306"," 0.008716127","-0.116210192"," 0.230487081"," 0.536493729"," 0.06155435"," 0.076328255",7,6,"Colchine"
