"","names","coefficients","sign","antilog"
"101","PFL1270w",0.0910268100362623,"POS",1.09529836985384
"102","PFE1280w",0.0900658163350835,"POS",1.09424630061642
"103","PFC0440c",0.08089820274923,"POS",1.08426051620898
"104","PF11_0348",0.075723977318234,"POS",1.07866479711254
"105","PF14_0593",0.071499012233052,"POS",1.07411708972343
"106","PF11_0252",0.0707388225705088,"POS",1.07330086729669
"107","PFA0490w",0.0703852994318503,"POS",1.07292149766728
"108","PF13_0350",0.068539923307841,"POS",1.07094337969975
"109","PF13_0219",0.067633189050756,"POS",1.0699727587641
"110","PF13_0228",0.0642990223523718,"POS",1.06641123188517
"111","PF10_0163",0.0640991574327406,"POS",1.06619811498802
"112","PF07_0047",0.0619852194914274,"POS",1.06394661893969
"113","PF14_0552",0.0604716730143093,"POS",1.06233750432482
"114","MAL13P1.179",0.0544987692896489,"POS",1.05601117676904
"115","PF11_0079",0.0471351624415977,"POS",1.04826368538394
"116","PF11_0260",0.0445809086719051,"POS",1.04558957055173
"117","PFC0100c",0.0430219256023657,"POS",1.04396078406872
"118","PFF0715c",0.0396831814817791,"POS",1.0404810782948
"119","PFF1155w",0.0387448100155572,"POS",1.03950517848966
"120","PFC0965w",0.0315514309463923,"POS",1.03205445376799
"121","MAL7P1.75",0.029041031878436,"POS",1.02946683456654
"122","PF13_0023",0.0169375590190242,"POS",1.01708181275634
"123","PFF0150c",0.0139518799768428,"POS",1.01404966167124
"124","PF13_0087",0.0133364316576179,"POS",1.01342575852112
"125","MAL8P1.108",0.00958911123319051,"POS",1.00963523406809
"126","PFE1390w",0.00925430535400573,"POS",1.0092972588371
"127","MAL13P1.322",0.00678086806623546,"POS",1.00680391020456
"128","PF14_0540",0.00593774909807082,"POS",1.00595541247317
"129","MAL7P1.65",0.00423077420088421,"POS",1.00423973656084
"130","PFI0710c",0.000955527603953676,"POS",1.00095598426589
"131","PFE0745w",0,"POS",1
"132","PFB0915w",0,"POS",1
"133","PFC0230c",0,"POS",1
"134","PFL2370c",0,"POS",1
"135","MAL8P1.96",0,"POS",1
"136","PF14_0419",0,"POS",1
"137","PFE0205w",0,"POS",1
"138","MAL13P1.293",0,"POS",1
"139","PF08_0018",0,"POS",1
"140","MAL8P1.92",0,"POS",1
"141","MAL8P1.132",0,"POS",1
"142","PF14_0327",0,"POS",1
"143","PFI1185c",0,"POS",1
"144","PF13_0208",0,"POS",1
