X;IonoTP1;IonoTP2;IonoTP3;IonoTP4;IonoTP5;IonoTP1c;IonoTP2c;IonoTP3c;IonoTP4c;IonoTP5c
PF3D7_0908100;2.561913098;2.760900213;2.128173839;1.65980651;1.804160583;2.926366651;2.923993584;1.864485692;1.668822312;1.821331899
PF3D7_0908200;1.91322748566667;1.94856584066667;2.278436609;2.25886691433333;2.901635404;1.65699648133333;2.25875733366667;2.06470740833333;1.956223177;2.21428168233333
PF3D7_0908300;2.55692647;2.231004262;2.047625371;1.496573418;1.505156453;2.412371024;2.191956913;1.921874047;1.470895492;1.448962102
PF3D7_0908400;2.731460524;3.141803263;2.86865386;3.136985945;2.511972724;3.463079849;3.383982715;3.246908713;2.495777371;1.900436373
PF3D7_0908500;1.61381819025;1.66709913125;2.058930392;3.01254086825;4.513780243;1.443659951;1.562716745;1.589340137;2.16126732325;2.52169576075
PF3D7_0908600;0.38771529;0.377664196;0.4013289225;0.2779812375;0.2888684255;0.542393013;0.3571923965;0.410645952;0.393820392;0.379122587
PF3D7_0908700;0.834024274;0.741076943;0.806897202;0.77737778;0.868294544;0.91866044;0.92932323;0.791960048;0.635806432;0.846996523
PF3D7_0908800;0.9823783085;0.8375982775;0.688194315;0.796771787;0.6267262305;0.8583156825;0.976048998;0.8359578325;0.919140156;0.5797777845
PF3D7_0908900;0.97178165;0.913390262;0.7779280725;0.890509668;0.599697577;0.570790568;0.836390895;0.7709176355;0.4792272155;0.619330036
PF3D7_0909000;0.7486271585;2.275054338;1.959304746;0.943843266;1.5440101035;1.2061855545;1.646823064;1.189853032;1.169937999;1.696887075
PF3D7_0909100;0.6950202035;1.4070096095;1.7890226255;1.1668747445;1.2264238325;1.352432822;1.596982287;1.089104457;0.8574574705;1.173061178
PF3D7_0909200;0.6376732405;0.623826103;0.781460894;0.470305472;0.6951423975;0.5764700665;0.6391044435;0.5292486785;0.4148331865;0.8113030485
PF3D7_0909300;0.654503295;0.576537096;0.449375324;0.284445918;0.24663619;0.630425396;0.540980379;0.494815639;0.372807608;0.306770932
PF3D7_0909400;1.11327896;1.0001946885;0.8711946735;0.7539433035;0.7196371375;0.9584169495;0.9397067515;0.9641252655;0.692744294;0.6318709685
PF3D7_0909500;1.427440561;1.744510562;1.856852835;0.9850556;2.2002989385;1.877077347;1.8830477115;1.1745494625;0.817465372;1.257953823
PF3D7_0909600;2.71151379;2.639762541;2.196003964;1.620210373;1.441808176;2.501823224;2.5387656805;2.765483645;1.439715217;1.1942843395
PF3D7_0909700;1.133849134;1.1414138865;1.3968789615;2.009707386;2.310947303;0.981844957;1.120379677;1.619628512;2.181263332;3.0127222105
PF3D7_0909800;0.43134884;0.423657593;0.408394576;0.290910612;0.347993534;0.45720039;0.443375436;0.351982239;0.26028749;0.327994093
PF3D7_0909900;0.95245817;0.913390249;0.893098145;0.802159055333333;0.769189572666667;0.942798320333333;0.854215931666667;0.840846475;0.782669999666667;0.711296972
PF3D7_0910000;0.478099089;0.7067438125;0.916414799;0.6836398985;0.830285552;0.7390459845;0.742939422;0.664430255;0.540232098;0.752457002
PF3D7_0910100;1.4928909055;1.425147931;1.3707360985;1.201622386;0.9907679795;1.373730999;1.2776897195;1.348627641;0.9076170795;0.7447395075
PF3D7_0910200;1.9896901128;2.0858983086;2.1194122936;1.6895441174;1.3967041866;1.6984568522;1.9510596462;1.805566877;1.3637979922;0.9978737942
PF3D7_0910300;1.310876687;1.3053059085;1.1884423165;1.111116875;1.000059101;1.1550699215;1.1759313675;1.210895444;1.0052248425;0.7746448685
PF3D7_0910400;1.418713888;1.3985883505;1.217411488;0.9899041445;0.9020803415;1.4532441455;1.261595285;1.0138619315;0.7429038825;0.7775389545
PF3D7_0910500;1.705033125;1.733498107;2.364166459;2.73940810633333;2.96695454333333;1.34273035566667;1.581407052;2.18160976566667;2.352980824;2.82525105766667
PF3D7_0910600;0.963678231;1.05460946;1.520527845;2.357992016;2.530554965;1.124542578;1.15776026;1.279123921;2.010449766;2.973169974
PF3D7_0910700;0.4145187675;0.393859043;0.730588238;0.8993986335;2.0964076435;0.555171911;0.6276825705;0.576434705;1.0858868625;2.448379401
PF3D7_0910800;1.073385455;1.0921815585;0.943970858;0.775761583;0.6225029865;1.074136959;1.11207286;0.978791194;0.6595305495;0.655023482
PF3D7_0910900;1.583274686;1.837145257;1.324102861;1.0246517855;0.9367107235;1.7059822135;1.689914623;1.3760465375;0.9428642935;0.8633961895
PF3D7_0911000;1.477307434;2.220639529;1.784783206;1.512735103;1.544010103;2.271803234;2.19611026;1.614527309;1.145536119;1.200072454
PF3D7_0911100;0.5734695905;0.7190518655;1.2046933555;3.0109246705;3.783162793;0.6176464985;0.8291224765;1.486997479;4.089360451;7.203329267
PF3D7_0911200;2.027090356;1.896742279;1.832829681;1.685665282;1.35143122;2.027584318;1.935484361;2.00476849;1.723048981;2.535201398
PF3D7_0911300;0.477475764;0.6084085996;0.72210943;0.3384259998;0.822261407;0.7063888105;0.5526617895;0.439467696;0.4953596234;1.2232250016
PF3D7_0911400;0.3534317965;0.339444311;0.3660006855;0.338587615;0.303227386;0.347869861;0.3265610635;0.3443304545;0.296212578;0.3386056745
PF3D7_0911600;2.5675230915;2.420808039;2.114042553;1.75112024;1.3894401865;2.095738383;2.0964287055;1.838342077;1.325839372;1.19428434
PF3D7_0911700;1.509097669;1.692039304;1.541018303;0.898590559;0.859848107;1.437625488;1.709124129;1.213446045;0.8479678235;0.6241534735
PF3D7_0911800;1.650595053;1.600052434;1.503570335;1.410916452;0.908837461;1.32048562;1.269902101;1.529082303;1.192984314;0.94925351
PF3D7_0911900;1.325213428;1.2385830845;1.2011604915;1.2218244915;1.4105563295;1.194116544;1.169701286;1.406653713;1.328550746;1.8184378705
