"","MAL13P1.124","MAL13P1.137","MAL13P1.179","MAL13P1.206","MAL13P1.262","MAL13P1.40","MAL7P1.18","MAL8P1.132","PF07_0074","PF10_0111","PF10_0136","PF10_0191","PF10_0307","PF10_0374","PF11_0087","PF11_0090","PF11_0260","PF11_0290","PF13_0095","PF13_0135","PF13_0137","PF13_0219","PF14_0041","PF14_0286","PF14_0360","PF14_0384","PF14_0562","PF14_0642","PF14_0713","PF14_0719","PF14_0730","PFA0430c","PFB0270w","PFB0590w","PFC0230c","PFC0375c","PFC0440c","PFC0760c","PFC0980c","PFE0165w","PFE0430w","PFE0585c","PFF0200c","PFF0490w","PFF0610c","PFF0875w","PFF0965c","PFF1150w","PFF1280w","PFL0980w","D_class","Class","Compound"
"Cyclosporine_H1"," 0.368769724","-0.186668032","-0.5493278956"," 1.03618738","-0.3280190325","-0.168244859","-0.019127933"," 0.2418416072","-0.128746076"," 1.207203960"," 0.3906016393","-0.458382618","-0.603237389"," 1.011293231"," 0.567738024","-0.230898091","-0.3257420363"," 1.468803921"," 0.01271036","-0.0238441940","-0.2280204764","-0.163520314","-0.163282930","-6.682196e-01","-0.471443952"," 0.115773031"," 0.84090836","-0.350059504"," 1.077081427","-0.1962380558","-0.387086292","-0.009671135","-0.413586060","-0.441926953","-0.1459370694"," 0.192195045"," 0.175566868"," 0.698488690","-0.498003247","-0.594195082"," 0.037364330","-0.2498273747"," 0.35800914","-0.115658197","-0.008889063","-0.3585328669"," 0.132391681","-0.588648464","-0.089352653","-0.4632963493",6,5,"Cyclosporine"
"Cyclosporine_H2"," 0.301373712","-0.092879603","-0.2536438966"," 0.56889482","-0.1620489114"," 0.050596795","-0.111764606"," 0.1150720025","-0.024315570","-0.010400623"," 0.1283068502","-0.228551152","-0.179946925"," 0.820602308","-0.021392405","-0.134930008","-0.3159018895"," 1.156333437","-0.14385907","-0.0980792128","-0.2575973797","-0.144862258","-0.289693636","-3.099673e-01","-0.285768714"," 0.260250739"," 0.82053621","-0.272796983"," 0.567851074","-0.2046128310","-0.347906550"," 0.121713987","-0.325968892"," 0.032754726","-0.0939163996"," 0.040653801"," 0.001567139"," 0.692894929"," 0.016625495","-0.160384831"," 0.204294988","-0.3034352649"," 0.04455787"," 0.020671084"," 0.026028574","-0.1564621043"," 0.110949573","-0.196589129","-0.407375531","-0.2625500087",6,5,"Cyclosporine"
"Cyclosporine_H4"," 0.230110721","-0.201378551","-0.4266984572"," 0.86984930","-0.2938187987","-0.060717685","-0.258404993"," 0.1977665357","-0.281645022"," 0.660655644"," 0.2177775033","-0.279410701","-0.400401608"," 0.138430164","-0.807298316"," 0.043294006","-0.4532272236"," 1.733084603","-0.23776087","-0.0478954715","-0.2182261493","-0.147200327","-0.123930758","-6.541599e-01","-0.356964695","-0.093777813"," 0.78003757","-0.148700622"," 0.888138666","-0.0988884726","-0.705967453"," 0.014148399","-0.182237621","-0.352455773"," 0.0449194158","-0.042274656"," 0.063472391"," 0.716722454","-0.267761257"," 0.150880083"," 0.209308160","-0.1369560572"," 0.15803175"," 0.046186257","-0.103588619","-0.3053732604"," 0.069416498","-0.271476573","-0.188562730","-0.2568822430",6,5,"Cyclosporine"
"Cyclosporine_H6"," 0.132608385","-0.075262884","-0.3909956274"," 1.12425231","-0.3631734960"," 0.056407880","-0.152834744","-0.1222954260","-0.020309413"," 0.986137848"," 0.2962774717","-0.236817419","-0.471021731"," 0.715920002"," 0.204068021","-0.116564631","-0.3053650517"," 1.378663308","-0.20493663"," 0.0438045738","-0.2534679237","-0.124828474","-0.159712311","-4.300806e-01","-0.488621173","-0.115624790"," 1.52972171","-0.621033282"," 0.718928821","-0.1404963449","-0.298503135"," 0.205066852","-0.370835519","-0.273096589"," 0.0142471212","-0.183727647","-0.111918986"," 0.642612011","-0.379625515","-0.076711533"," 0.221932274","-0.2480369305"," 0.54563196"," 0.020630396"," 0.054072978"," 0.1324635331"," 0.039324178","-0.499047918","-0.421098225","-0.1428514247",6,5,"Cyclosporine"
"Cyclosporine_H8"," 0.451804920","-0.117020541","-0.7871716053"," 1.09498767","-0.4097935683","-0.428965227"," 0.034053602"," 0.0840684005","-0.291178406"," 0.614465511"," 0.4070134351","-0.522232066","-0.437743609"," 0.887189978"," 0.291342553","-0.082911938","-0.2666571356"," 1.321718707","-0.05772741"," 0.1170046153","-0.0466821396"," 0.020854804","-0.347787148","-4.120048e-01","-0.371833631"," 0.103932223"," 1.00824053","-0.765208036"," 1.157288984"," 0.0664842334","-0.187916771"," 0.419453685","-0.088159762","-0.345510240","-0.0583877609"," 0.292400630"," 0.051011794"," 0.903940835","-0.468392943","-0.008102426"," 0.242647261","-0.1025562415"," 0.67345755"," 0.037001295","-0.362295947"," 0.0001095511"," 0.027307867","-0.694455205","-0.139183686","-0.3928775942",6,5,"Cyclosporine"
"Cyclosporine_H10"," 0.420260927","-0.107083905","-0.3391801897"," 0.68234926","-0.2534188556","-0.041466264","-0.141954576","-0.0496415135","-0.138223968"," 0.064715098"," 0.9350237795","-0.488510210","-0.243529239","-0.888085043"," 0.442125233","-0.076127985","-0.4388602734"," 1.165527244","-0.16879826","-0.0133105985","-0.1233335235","-0.056573572","-0.394763500","-3.783761e-01","-0.201801045"," 0.058488878"," 0.29061787","-0.317785538"," 0.754145881"," 0.0214493260","-0.438911970"," 0.311748702","-0.152620565","-0.450516598"," 0.0875413131"," 0.248816106"," 0.022969494"," 0.646114459","-0.161569934","-0.047044822"," 0.379874665","-0.3945122061"," 0.21049606","-0.125555573","-0.193284688","-0.4373431801"," 0.258721246","-0.634811173","-0.027095540","-0.2785156626",6,5,"Cyclosporine"
"Cyclosporine_H12"," 0.307436088","-0.105322297","-0.2355470781"," 0.76569290","-0.3534521808"," 0.039641491","-0.027635873"," 0.1516904722","-0.293779659"," 0.223141956"," 0.6025158924","-0.398115705","-0.301788877"," 0.787684362"," 0.072127788","-0.040945058","-0.4750854462"," 1.645456257","-0.23883171","-0.0828199278","-0.2968770674","-0.073384969","-0.081659826","-3.557226e-01","-0.091274235","-0.211490789"," 0.79002524","-0.345809057"," 0.909489570","-0.0091972990","-0.612866125"," 0.285604319","-0.082442121","-0.211894162"," 0.0890887543"," 0.252237062","-0.091225903"," 0.797861042"," 0.010506836"," 0.046169472"," 0.319921066","-0.2884829889"," 0.20801773"," 0.016259765","-0.111688344","-0.3521057173"," 0.117096079","-0.591677085"," 0.747687820","-0.0018244328",6,5,"Cyclosporine"
"Cyclosporine_H14"," 0.528734817","-0.153617292","-0.4464169400"," 0.67482146","-0.4641640930","-0.072540856"," 0.039200342"," 0.4651765554"," 0.170746347","-0.265849434"," 0.5230548925","-0.198027020","-0.322291559"," 0.634491646"," 0.418076491"," 0.045205538","-0.5225387117"," 1.516203183"," 0.00300129","-0.0380195722","-0.2130406814"," 0.026735266","-0.155929215","-1.633367e-01","-0.132529915"," 0.271377858","-0.29178863","-0.604063051"," 0.938848317","-0.1726178632","-0.133503265"," 0.147906236","-0.380174481","-0.422628335"," 0.0755344200"," 0.044485198"," 0.187010640"," 0.894922291","-0.131025569","-0.081840745"," 0.499326958","-0.3487963060"," 0.32156310"," 0.062736848"," 0.047507677","-0.2565025271"," 0.089307946","-0.276714414"," 0.057097767","-0.0560219689",6,5,"Cyclosporine"
"Colchine_H1","-0.105673326","-0.114105789","-0.2224055758"," 0.01690747"," 0.0994814451"," 0.462048410"," 0.403854158"," 0.0378423338","-0.218961137"," 0.047867413"," 0.2816925242","-0.134592973","-0.269873575","-0.195846122","-0.058918684"," 0.053869366"," 0.3687693052"," 0.489438438","-0.21153986"," 0.1751793580"," 0.3927940856","-0.237450158"," 0.433499658","-5.073316e-01"," 0.079060912","-0.279731923"," 0.10269607","-0.344198877","-0.092827463"," 0.0631308532"," 0.507413678","-0.254545609","-0.235865058"," 0.286665020","-0.1385838924"," 0.507042046","-0.180290664"," 0.101349226","-0.503513013","-0.196777767"," 0.124370121"," 0.1062068834"," 0.32814474"," 0.021291134","-0.162957356","-0.1613477293"," 0.079003030","-0.028682864"," 0.603751339","-0.3739392399",7,6,"Colchine"
"Colchine_H2","-0.062508419","-0.227446560"," 0.0021557398"," 0.16812422"," 0.0151746991"," 0.007970343"," 0.101005553","-0.0833811525"," 0.020436322"," 0.459418693"," 0.1549516809"," 0.006580137"," 0.012438173","-0.252976418","-0.096524182","-0.079970477"," 0.1453512720"," 0.023180707","-0.02230266"," 0.0176436540"," 0.2437528582","-0.122728100","-0.081499543","-2.181114e-01"," 0.091771746","-0.072426373"," 0.08665765","-0.114814631"," 0.101228047"," 0.2081927418"," 0.146819645","-0.148150204","-0.075005345"," 0.069288376","-0.1069164026"," 0.099166768"," 0.019860159","-0.030454709","-0.105938453"," 0.109063019","-0.074421924"," 0.3841286130"," 0.01323937","-0.292711270","-0.235683357","-0.0687264322","-0.022960508","-0.014569681"," 0.182258736","-0.1121759931",7,6,"Colchine"
"Colchine_H4","-0.001943864","-0.127412700","-0.1608943753","-0.24936428"," 0.0188305716","-0.190548201"," 0.060784888","-0.0285508915","-0.124935445"," 0.382663256","-0.0744895061","-0.193933279","-0.221143249","-0.391630702","-0.220609961"," 0.060325991","-0.0660763624"," 0.340624945"," 0.22523318"," 0.1091291863"," 0.1966023948","-0.008515589"," 0.138176431"," 5.790321e-02"," 0.125608230"," 0.112202956"," 0.07849881"," 0.063272767","-0.034487899"," 0.0001920367"," 0.053505392","-0.101030570"," 0.166159913"," 0.458122462","-0.0640055162"," 0.282316375"," 0.066159470"," 0.063331753"," 0.100272916","-0.122923683"," 0.167243319"," 0.3141391489"," 0.02199396","-0.101856280"," 0.321280667","-0.0388800825"," 0.092485672","-0.291973657","-0.064943306","-0.1974441942",7,6,"Colchine"
"Colchine_H6"," 0.069135065","-0.010508552","-0.0443723025","-0.27102785"," 0.0233595653"," 0.136865396"," 0.020061619","-0.1414984702","-0.128297409","-0.026437034"," 0.0483797817","-0.069683866","-0.261273490","-0.223963834","-0.411306302"," 0.079758079"," 0.0816906106"," 0.264665444","-0.09144410"," 0.0674087074"," 0.0779982997"," 0.051143917"," 0.062785099","-2.222190e-01","-0.162161949"," 0.006378068"," 0.11697526"," 0.067772953"," 0.122363745"," 0.0998776882"," 0.217322592","-0.095292764"," 0.176286679"," 0.152383566","-0.1197123903"," 0.055728423"," 0.037475831"," 0.172686235","-0.156555205","-0.065825485"," 0.131334886"," 0.2170973746"," 0.15672787"," 0.035291979","-0.006517744"," 0.0475669777"," 0.017804277","-0.187049967","-0.033119689","-0.1931018399",7,6,"Colchine"
"Colchine_H8","-0.009236766","-0.141578180","-0.0117455532"," 0.05182466","-0.0754419346","-0.060388887","-0.274205889","-0.2415768012"," 0.053740373"," 0.732641056","-0.0964305113","-0.062311738","-0.186291398"," 0.295196547"," 0.014233400","-0.094749909"," 0.0948203951"," 0.375007491"," 0.10751585","-0.2119445699"," 0.1282643129"," 0.041891064","-0.044355337","-7.868653e-02","-0.002320497","-0.021083768"," 0.50136961","-0.250615638"," 0.085592247"," 0.0312877940"," 0.005854509","-0.111748064","-0.073744520"," 0.260870885","-0.1922626586"," 0.139989052"," 0.115507536","-0.102463432"," 0.065035757","-0.063934396","-0.005619798"," 0.3386004902","-0.19097045","-0.004080893","-0.314184491"," 0.0761855908","-0.131461637","-0.213598050","-0.203505688","-0.2477878681",7,6,"Colchine"
"PMSF_H1"," 0.013878793","-0.079374456","-0.8655808065","-0.68370223"," 0.8409102365","-0.648449042"," 0.286440840","-0.5704677168"," 1.238583480","-1.468365438"," 0.0498737545","-0.113486045"," 1.296429254"," 0.346351105","-1.316666834"," 0.126167422","-0.5616809394"," 0.505998030"," 0.52669198"," 0.0545589886","-0.2734901042"," 1.042563122","-0.401780929"," 7.113856e-01"," 0.699883577"," 1.151577523"," 0.04572665","-0.213857006"," 0.213268243","-0.1321603609","-0.540312562"," 0.176376690","-0.193828717","-0.489547021"," 0.3121461246","-0.324927697"," 0.225651061"," 0.627845984"," 0.227747450"," 0.111671288"," 0.549787066","-0.7707462237"," 0.26615608"," 0.168072560"," 0.004621575"," 0.5297296592","-0.328247634","-0.781154877","-0.633311858"," 0.0745221001",8,7,"PMSF"
"PMSF_H2"," 0.055628060"," 0.042742422","-0.5273214005","-0.45443042"," 0.1443225284","-0.104669119"," 0.236612457","-0.0004724186"," 1.183216765","-2.171562075"," 0.2232006414"," 0.101320188"," 0.986072115"," 1.168068416","-1.515529087","-0.057129459"," 0.0742949641"," 0.647614079","-0.10724502"," 0.0825341954"," 0.2656502283"," 0.874152887"," 0.063067476"," 4.926996e-02"," 0.275779917"," 1.081724471","-0.80413318","-0.466035331","-0.330167741"," 0.0099572942"," 0.644419592"," 0.121783287"," 0.034017374","-0.016900251"," 0.4398165869","-0.060106917"," 0.043077084"," 0.789797744","-0.438827503","-0.303479333"," 0.291365991","-0.7718034762"," 0.19613816","-0.004318678"," 0.272955316"," 0.9048633670","-0.432690170","-0.461710281"," 0.338517793"," 0.1034927632",8,7,"PMSF"
"PMSF_H4"," 0.194715738","-0.100765683","-0.4869777049","-0.02321564"," 0.9076468858","-0.269766742","-0.258359429"," 0.2694533325"," 1.288858803","-2.789447931","-0.0597863967"," 0.107131899"," 0.830646412"," 1.097288781","-1.174879046"," 0.139871182"," 0.3451409858"," 0.742268086"," 0.02910867","-0.4564080427"," 0.2616051387"," 1.044797156"," 0.165604744"," 2.065003e-01"," 0.149486395"," 0.511494692","-1.09919451","-0.669657889","-0.333752233","-0.0656887381"," 0.249809628"," 0.128595724","-0.033005821"," 0.165717854"," 0.5889936345"," 0.055409324"," 0.072911523"," 0.969363820","-0.513303347","-0.692523272"," 0.231004049","-0.9670671936","-0.18971303","-0.073503359"," 0.251459649"," 1.2153349578","-0.456117629","-0.027607867","-0.129324679"," 0.0235981756",8,7,"PMSF"
"PMSF_H6","-0.149618302","-0.607675630","-0.4834849047"," 0.36144176"," 0.6394142237","-0.055234025","-1.110344088"," 0.8585530397"," 1.407769836","-2.032925353","-0.0740266415","-0.221053837"," 0.806970357"," 1.132796984","-1.126689570"," 0.150396251"," 0.7447600549"," 0.686568952","-0.20150151","-0.0581918247"," 0.3366256204"," 1.024786936","-0.090672680","-1.355819e-01","-0.004017084"," 0.075434660","-0.68730115","-0.436716843","-0.110369330"," 0.0523323291"," 0.518036426","-0.315224180","-0.033477844"," 0.174608263"," 0.4303486374"," 0.230927294"," 0.349007967"," 0.659723978","-0.449840772","-0.606506066"," 0.148631261","-0.5329419085","-1.00040539","-0.932430062"," 0.049626521"," 0.3911061764","-0.503982056"," 0.506436592","-0.482136088"," 0.0450024804",8,7,"PMSF"
"PMSF_H8","-0.217755924","-0.948421944","-0.8593286768"," 0.01537116"," 0.6255167060","-0.703781271","-1.290650719"," 0.5992667242"," 1.191626326","-1.749947951","-0.3738976787","-0.515678563"," 1.152427455"," 1.581226832","-1.075552006"," 0.187929414"," 0.7823721550"," 0.015973697"," 0.22409415","-0.4476317730"," 0.3012720528"," 0.928509579","-0.174095755"," 2.050688e-01"," 0.112801446"," 0.600022117","-0.41523750","-0.306027654"," 0.185427458","-0.0746006896"," 0.154235578","-0.448127151","-0.307111920"," 0.137265670"," 0.5020646541"," 0.295202257"," 0.519396682"," 0.685338591","-0.194396602","-1.153929902"," 0.194635420","-0.4623234038","-1.32569911","-1.459457434","-0.051064278","-0.4517709310","-0.413146522"," 0.011263351","-1.400104925","-0.4601279574",8,7,"PMSF"
"Leupeptine_H1","-0.079025754","-0.064057340"," 0.0604225251","-0.17476520"," 0.5744502123","-0.114396003","-0.027123961","-0.3131008607"," 0.042106324","-0.288297953"," 0.2467473818","-0.048548048"," 0.006256944","-0.226010684"," 0.202312008","-0.057527617","-0.2159496298","-0.278426928","-0.17057303"," 0.1262449524","-0.1742029304"," 0.196947220","-0.376392381"," 2.531044e-01"," 0.008930599","-0.346514026"," 0.04319766"," 0.094436020"," 0.150481798"," 0.3039501247","-0.356007187"," 0.277166288","-0.105034628"," 0.004087465"," 0.0082111872","-0.495004407","-0.070581388","-0.113305122"," 0.055064296"," 0.209893880","-0.037557568","-0.0824488525","-0.23348954"," 0.173901144"," 0.204857184","-0.1253969795"," 0.058915626","-0.141001983","-0.006631821"," 0.3803931140",9,8,"Leupeptine"
"Leupeptine_H2"," 0.023931270","-0.014012165"," 0.0798072013"," 0.27253556","-0.1665874613","-0.021462934"," 0.076351760","-0.0973786999","-0.111183823"," 0.405609251","-0.0894882327","-0.127049794"," 0.178472428"," 0.113985880","-0.019201157","-0.126906139","-0.5354608582","-0.131651765","-0.12223433"," 0.0005730812","-0.1133307523"," 0.007995550","-0.100417773"," 2.025806e-01"," 0.305191747"," 0.259359930"," 0.44254131"," 0.064789342","-0.187128185"," 0.1728680737"," 0.067320755","-0.002404116"," 0.194222929","-0.176961819"," 0.0265387805"," 0.142091012"," 0.020654029","-0.046461523","-0.001746518"," 0.074103703","-0.134619079"," 0.2111169976","-0.08541856","-0.028027162","-0.081885616","-0.1738713959"," 0.024196257"," 0.009207985"," 0.119386756"," 0.1153746174",9,8,"Leupeptine"
"Leupeptine_H4"," 0.100219197"," 0.033295023"," 0.1098522652","-0.05121864"," 0.4648729817"," 0.097039036","-0.048883045"," 0.1089489654","-0.054242586","-0.293669141","-0.1203030654","-0.034583439","-0.047992400","-0.095506849"," 0.229610418"," 0.191475442"," 0.1046713095"," 0.045566372","-0.06202353","-0.1490656298","-0.0129520056","-0.129306597"," 0.187146751","-1.789036e-01","-0.063093527","-0.116853237","-0.23375390","-0.268151269","-0.068776774","-0.1087587185","-0.057704724","-0.008275552"," 0.025100370","-0.014367431","-0.0227545112"," 0.193778991","-0.099380997"," 0.112393993","-0.061530416","-0.505474079","-0.166425080","-0.2378238957"," 0.05261353"," 0.138263084"," 0.055837182"," 0.2371580502"," 0.015076165"," 0.283789027","-0.246638523","-0.1480688399",9,8,"Leupeptine"
"Leupeptine_H6","-0.168978494","-0.053195305"," 0.2770947071"," 0.19712522","-0.1208444110"," 0.197899399","-0.114437687"," 0.1449672624"," 0.368045164"," 0.129108343"," 0.0609150793","-0.033055155"," 0.107950811"," 0.243379444"," 0.023427255","-0.134053859"," 0.2293748971","-0.165383742","-0.38552440"," 0.0570554275","-0.1373878363","-0.142142558","-0.147959948","-1.459285e-01","-0.037574865","-0.138164629"," 0.22149274"," 0.077802019","-0.091035227","-0.0072061837"," 0.093700151","-0.218308582","-0.104512863","-0.324135954","-0.0743491054","-0.062616578"," 0.024148491"," 0.007723352","-0.028156710","-0.075754675"," 0.050982547"," 0.0501396752","-0.03851279","-0.119429492","-0.110328317"," 0.0385103025","-0.182565572"," 0.104247249"," 0.053084497","-0.0427664012",9,8,"Leupeptine"
"Leupeptine_H8"," 0.032937468"," 0.090306974"," 0.0706460299"," 0.12714112","-0.7502315264"," 0.011024501"," 0.218587301"," 0.0368633085"," 0.055631488","-0.227081896","-0.0738502475","-0.096725224","-0.054169916"," 0.648959874","-0.047157232","-0.058672702"," 0.4307607040","-0.147977413"," 0.05211846"," 0.1094216265"," 0.0577350987","-0.087725629"," 0.237515369","-2.376401e-01","-0.098204803","-0.001319517","-0.40375286","-0.030471101"," 0.056235935"," 0.0371075898"," 0.141698460","-0.455811288"," 0.161489694","-0.032866845"," 0.0016601775"," 0.100274442","-0.144491150"," 0.178023307","-0.367761839"," 0.001885840"," 0.044496629"," 0.0392692684"," 0.38547365"," 0.047754117","-0.129686790"," 0.0895779402"," 0.012597922"," 0.128860601"," 0.099630781","-0.2739077017",9,8,"Leupeptine"
"Apicidin_H1","-0.046033850","-0.152660769","-0.0881573383"," 0.42361232","-0.3154575788","-0.362330965"," 0.114728596"," 0.1176269304"," 0.242785634"," 0.148722433","-0.1437833945","-0.391986361"," 0.398990715","-0.131452895","-0.210016771"," 0.265132638"," 0.4674031756"," 0.015410802","-0.05104866","-0.6581598984"," 0.1329562023","-0.017712779","-0.361331828"," 1.801633e-01"," 0.068904604"," 0.549714765"," 0.54906489"," 0.228392167"," 0.053285970"," 0.1403913072","-0.252879488"," 0.156436726","-0.175070908","-0.275873299","-0.0779897385","-0.030525585","-0.058418336","-0.050693098"," 0.287995817","-0.266035791"," 0.068526115","-0.2774035653"," 0.33743794","-0.134137473","-0.975569420","-0.4398151141","-0.133312539","-0.277841485","-0.405086355","-0.3381190403",10,1,"Apicidin"
"Apicidin_H2"," 0.215745718"," 0.092932462","-0.0195005799"," 0.20406740"," 0.2547604904"," 0.334973597"," 0.047734118","-0.0438163374"," 0.236634669","-0.229015519"," 0.1018407243"," 0.030000749","-0.142319922"," 0.314804537","-0.249744911","-0.020496270","-0.0389088918","-0.104005323","-0.12206749","-0.1066537571"," 0.1454657859"," 0.073379660"," 0.044398732"," 6.280053e-02","-0.299721379"," 0.143428296"," 0.14000745","-0.167280887"," 0.191614116","-0.0276359050"," 0.261053465"," 0.134016700","-0.133277731","-0.167390238"," 0.0564884230","-0.104576360","-0.112297771"," 0.173504492","-0.239117353","-0.518243183"," 0.146867027","-0.0303285916"," 0.21271822"," 0.049246359"," 0.257617131"," 0.0284447905"," 0.186491911"," 0.155583447","-0.080492227"," 0.0482312012",10,1,"Apicidin"
"Apicidin_H4"," 0.005308789","-0.006378377"," 0.0849241520","-0.13910695","-0.1828143805"," 0.270415805"," 0.130322138"," 0.2469944686"," 0.094283243","-0.180494530","-0.0887681299","-0.023424279"," 0.087927751"," 0.250165992","-0.029059499"," 0.158480302","-0.1391106407"," 0.100289782","-0.08977964","-0.0486034209"," 0.0485183726","-0.017546498","-0.041015982"," 1.758968e-01","-0.116944623"," 0.226119474"," 0.21836198"," 0.165083977","-0.004785416","-0.0928188859"," 0.123936555","-0.191969849"," 0.103417478"," 0.197780374","-0.0618355535","-0.188462948","-0.158564527","-0.183721735","-0.074848873","-0.082396778","-0.047230190","-0.0904176655"," 0.14803317","-0.165874468"," 0.005416684"," 0.0645282394","-0.102629367"," 0.200066856","-0.276712990"," 0.1242305559",10,1,"Apicidin"
"Apicidin_H6","-0.105196653","-0.003886237","-0.0525535891","-0.01944052","-0.0702033636"," 0.128324764"," 0.006989802"," 0.8434544377"," 0.220233033"," 0.014706495"," 0.2719806450"," 0.026764581"," 0.128979539"," 0.279001233","-0.094047854"," 0.105210041"," 0.1395551754","-0.150614554","-0.18771464"," 0.0388452056"," 0.3150737356"," 0.190832513","-0.217721365"," 2.054405e-01","-0.113246393"," 0.060674859","-0.02171584"," 0.101604314","-0.134150437"," 0.0491114132"," 0.142778478"," 0.166298229","-0.165035588"," 0.055619618"," 0.0150535712","-0.072105300","-0.085264897"," 0.008527172"," 0.037817282"," 0.090229931"," 0.145619452"," 0.0664819121"," 0.08162083"," 0.397962022"," 0.029559544","-0.1452639832","-0.037404738"," 0.094902201"," 0.272564577"," 0.2070862122",10,1,"Apicidin"
"Apicidin_H8","-0.131313769","-0.095638965","-0.1424497827"," 0.12274900","-0.0779911548"," 0.219433866","-0.125623344"," 0.4098764295"," 0.319424441"," 0.181936556"," 0.1818417379","-0.049326591","-0.062680794"," 0.230931288","-0.006186513","-0.005309758"," 0.0786439916"," 0.119365472","-0.09292746","-0.0710086263"," 0.1702683827"," 0.072349229","-0.169362791"," 5.889238e-02","-0.195416921"," 0.243815212"," 0.01017960","-0.054461980","-0.032942726"," 0.0575261487"," 0.271043085","-0.024705360","-0.048072549"," 0.174668355","-0.2707212887","-0.119042869","-0.071248713","-0.154298466"," 0.033709936"," 0.089811497","-0.019410451","-0.0577473002","-0.10529933"," 0.206301261"," 0.034238504"," 0.0513564785","-0.072419726","-0.066848241"," 0.096196841"," 0.0625640292",10,1,"Apicidin"
"Apicidin_H10"," 0.050572731","-0.038900026"," 0.0359040521","-0.05410608"," 0.2314391797"," 0.415370371","-0.012127554","-0.0433390023"," 0.150645252"," 0.059671706"," 0.0404969519"," 0.212242815","-0.218157391"," 0.090051272"," 0.183518252","-0.140623145"," 0.3566325947","-0.015198068","-0.15576070"," 0.1793598728"," 0.1845012387","-0.089534244"," 0.008424697","-2.540514e-02","-0.332373808","-0.009002542","-0.28205582","-0.024515086"," 0.111765351"," 0.1429936978"," 0.426237327"," 0.031676583","-0.265172974","-0.100357986"," 0.0409478639","-0.033175064","-0.085364384","-0.035432698","-0.056564499","-0.177403534"," 0.011270195","-0.1046635333"," 0.08694159"," 0.005048423"," 0.192416939"," 0.0498941053","-0.105489467"," 0.147942886"," 0.003855741","-0.0550401384",10,1,"Apicidin"
"Trichostatin_H1","-0.113532479"," 0.061456630"," 0.8131066103"," 0.30952096"," 0.1196125217"," 0.118976257"," 0.865147490"," 0.4693055248","-0.237501485","-0.288973583","-0.0455695214"," 0.491858627","-0.573250191"," 0.360978267","-1.262049862"," 0.383325087"," 0.2202865822"," 0.450136760","-0.52252414","-0.4999851145"," 0.6043252884","-0.356016492","-0.052457027","-1.517331e-01"," 0.869864019"," 1.072431022"," 0.09335618"," 0.543850093"," 0.341063698"," 0.0820749127"," 0.381839680"," 0.391969873","-0.640476754","-0.330300740","-0.9769134455","-0.108062646","-1.073009960"," 0.298571687"," 0.454066666"," 0.631451768","-0.210933914"," 0.0022339841"," 0.71826027"," 0.254174287"," 0.197514786"," 0.0552648001","-1.244880386"," 0.323096289","-0.279065539"," 0.4955563322",11,1,"Trichostatin"
"Trichostatin_H2"," 0.099077134"," 0.167781239"," 0.7689178886","-0.02132999","-0.3709153519"," 0.676020112"," 0.698739963"," 1.0243514379","-0.621181831"," 0.065360575","-0.2331888785"," 1.082836183","-0.268818625"," 0.934568862","-0.739966326","-0.187998259","-0.5500367302"," 0.559728626","-0.51727144","-0.8170219693"," 0.7677983175"," 0.117143138"," 0.616489894","-5.573247e-01"," 1.061580489"," 0.069166299","-0.35900203","-0.808440612"," 0.526275690","-0.2938361025"," 0.902558842"," 0.059111524","-0.275719195","-0.548846916","-0.4867079261","-2.158272784","-0.745450484"," 0.278944485","-0.862155186"," 0.984914100"," 0.196031156","-0.1378585146"," 0.23367988"," 0.724694922"," 0.079852463"," 0.4855152817","-0.996236575"," 0.629706344","-0.065911345","-0.1778295829",11,1,"Trichostatin"
"Trichostatin_H4","-0.014667208"," 0.020013907"," 0.8350129829","-0.12384553","-0.5031203580"," 0.384174731"," 0.310684404"," 1.0254172432","-0.449648696","-0.387151547","-0.4574481386"," 0.631657120"," 0.268485291"," 1.019903307","-0.821919329","-0.331042859","-0.5150278992"," 0.318134576","-0.31653171","-1.3266828549"," 0.9497754811","-0.016945039"," 0.200375690","-4.605196e-01"," 1.259675199"," 0.373002447","-0.25677510"," 0.014654459"," 0.561572012","-0.0676475615"," 0.100762306"," 0.159017714","-0.720682145"," 0.007877388","-0.5094563919","-1.645170464","-0.497571703"," 0.123100235","-0.849344322"," 0.701617623"," 0.293330029"," 0.1454012646","-0.37609752"," 0.572206830","-0.335600427"," 0.3578040337","-1.003904711"," 0.026875852","-0.420671846","-0.2886944240",11,1,"Trichostatin"
"Trichostatin_H6"," 0.034241838","-0.177940898"," 0.7007979449","-0.08534992","-0.5299229851"," 0.587833055"," 0.083367489"," 0.4936356427","-0.741608766"," 0.094708152","-0.2749166286"," 0.646753027"," 0.081685184"," 0.777790181","-0.362284966","-0.460162714","-0.2205337400","-0.169249787","-0.09751882","-1.3910294280"," 0.4995308121","-0.178185963"," 0.180610547","-4.630471e-01"," 0.998518603","-0.142269681","-0.26089721","-0.812144177"," 0.481728376","-0.4704632438","-1.196104592"," 0.092754022","-0.333861146"," 0.112281880","-0.5869148254","-1.179308410"," 0.080617541"," 0.091942557","-1.505657223"," 0.703490254","-0.314834403"," 0.1431951882","-0.07685575"," 0.063862461","-0.165744864"," 0.3447272435","-0.553031684"," 0.366053336","-0.031639545","-0.4852810858",11,1,"Trichostatin"
