X;DHB4TP1.1;DHB4TP1.2;DHB4TP1.1t;DHB4TP2.1;DHB4TP2.2;DHB4TP2t;DHB4TP3.1;DHB4TP3.2;DHB4TP3t;DHB4TP1.1c;DHB4TP1.2c;DHB4TP1.1tc;DHB4TP1.2tc;DHB4TP2.1c;DHB4TP2.2c;DHB4TP2tc;DHB4TP3.1c;DHB4TP3.2c;DHB4TP3tc
PF3D7_0208000;0.220241375;-0.035464403;-0.214054949;-0.10699555;-0.255827086;0.05674748;0.038049241;-0.558705698;-0.35790413;0.332989743;-0.257912649;0.359731053;0.199841359;0.028604316;0.24588983;0.333909566;0.379714739;0.351092328;0.318042966
PF3D7_0208100;-0.262204416;-0.4929251195;-0.399858627;-0.3093625535;-0.493989764;-0.2899394565;-0.3423163165;-0.3361951015;-0.3944180175;-0.5467496515;-0.000995714500000001;-0.522607611;-0.4652426155;-0.4791066485;-0.352155679;-0.2764727825;-0.2016066135;-0.276151783;-0.37752361
PF3D7_0208200;-0.267517884;-0.114076795;-0.030924246;-0.425365992;-0.704894523;-0.270569588;-0.244737798;-0.359583095;-0.593945536;-0.876289965;-0.494355975;-0.544192351;-0.452319719;-0.837810913;-1.034111682;-0.708146802;-0.979889971;-1.008243054;-0.923792356
PF3D7_0208300;0.128119257;0.317666042;-0.290786875;0.481395233;0.318187857;0.202006595;0.128172052;0.071299264;-0.434925197;-1.056816639;-0.214920898;-0.277454336;-0.496520438;-0.734484896;-0.768952996;-0.333073257;-0.382390821;-0.25440856;-0.437170316
PF3D7_0208400;-0.170055728;0.074378974;-0.556867154;0.180596944;0.248013681;0.414715386;0.089924927;-0.049506867;0.228664126;-0.167593108;-0.046396835;-0.290833345;-0.239188276;-0.228076891;-0.214735713;-0.356865567;0.058396583;-0.134278746;0.064944759
PF3D7_0208500;0.238281558;0.098444211;0.388731171;0.314728169;0.45286357;0.035630519;0.102303512;0.062124877;0.183979037;1.360960284;1.188820499;0.99519106;0.98326282;1.87556932;1.876682484;1.388121694;1.746554265;1.743176034;1.556648252
PF3D7_0208600;0.173966493;0.027994141;0.23159237;0.57826607;0.453077867;0.240862411;-0.060017326;0.176708972;-0.233213292;0.531050325;0.334244246;0.427012584;0.519897243;0.403767034;0.653400631;0.296368555;0.179580821;0.259676673;0.518727997
PF3D7_0208700;-0.378765169;-0.110530415;-0.031815321;0.389407576;0.371930647;-0.275739218;-0.246574521;-0.234751533;-0.669365552;1.272770423;0.728882126;0.052080205;0.09959415;0.855297025;0.825011602;0.351377559;0.268153438;0.248111542;0.239702542
PF3D7_0208800;0.702324967;0.884544857;0.597450802;1.25773521;1.132874345;1.190182192;0.770648034;0.952947318;0.841385927;0.003937741;0.401936285;0.533059346;0.596172545;0.590655044;0.651425007;0.441587217;0.367993494;0.294044714;0.418666656
PF3D7_0208900;-0.035876766;-0.103464066;-0.240827444;-0.045074679;-0.24398229;-0.22748685;-0.310370656;-0.090210269;-0.023291179;0.191838637;0.207800031;0.105391898;0.173627111;-0.45236978;-0.200013602;-0.314755617;-0.237576102;-0.309915282;-0.22490422
