X;dnadTP1.1;dnadTP1.2;dnadTP1.3;dnadTP1.1C;dnadTP1.2C;dnadTP1.3C;dnad2TP1.1;dnad2TP1.2;dnad2TP1.1C;dnad2TP1.2C
PF3D7_0619100;0.184917667;0.262136829;0.475422461;0.194795666;0.027507332;0.045238686;0.523698193;0.358564104;0.710879765;0.710879765
PF3D7_0619300;-0.0412316473333333;-0.0650723461666667;0.092435905;0.3341610765;0.249728606666667;0.281259770166667;0.129288500166667;-0.0687662996666667;0.123273411333333;0.123273411333333
PF3D7_0619400;0.0028392565;-0.045433982;-0.022421917;-0.140567287;0.0225820625;-0.0189027385;0.01388677;-0.033485679;-0.038128685;-0.038128685
PF3D7_0619500;0.620228173666667;0.554789274333333;-0.917741343666667;0.00363933866666668;0.248222397333333;0.244520664666667;0.305284558333333;0.110104829333333;0.044733707;0.044733707
PF3D7_0619600;-0.389941808;-0.368231769;-0.5278046065;-0.358923421;-0.1950442225;-0.0607497615;-0.49640263;-0.045082339;-0.411613252;-0.411613252
PF3D7_0619700;0.1881932445;0.12708543475;-0.17632631225;0.3177934635;0.44754136025;0.1853608525;0.24789879325;0.0383342954999999;0.2652644345;0.2652644345
PF3D7_0619800;-0.332044995;-0.260220864;-0.17198610325;-0.16155253075;-0.0350297315;-0.0581461915;-0.17352479075;0.05376825475;-0.33597757375;-0.33597757375
PF3D7_0619900;0.556119392;0.829391766;0.483270916;0.199649822;-0.018803801;0.11909996;0.34049002;0.292013702;0.660771405;0.660771405
PF3D7_0620000;-0.329232699;-0.184645247;0;-0.5009247915;-0.465389678;-0.331940606;-0.129561434;-0.1996074375;-0.311090777;-0.311090777
PF3D7_0620100;1.333014738;1.234744037;1.145826461;0.45315372;0.347656249;0.530225469;1.255823064;0.974889016;0.970507135;0.970507135
PF3D7_0620200;0.33809847;0.598129665;0.675389303;0.080949839;0.104517851;0.116508994;0.928786597;0.584698567;0.702293131;0.702293131
PF3D7_0620300;-0.0899212895;0.054330536;0.2110890395;-0.1002529215;0.1781971045;0.231731494;-0.0925010205;0.302729864;-0.396457167;-0.396457167
PF3D7_0620400;0.3599387775;0.3376490925;0.26560967;0.072061287;0.180087492;0.10233835;0.516265179;-0.566060582;0.442611639;0.442611639
PF3D7_0620500;-0.015928046;-0.033840841;-1.150113718;-0.03739697;0.003349181;0.011275831;0.103093638;0.003418753;0.146737323;0.146737323
PF3D7_0620600;-0.484373547;-0.543797084;-1.017713701;-0.273056518;-0.592611312;-0.354136299;-0.989324867;-0.218335665;-1.024050821;-1.024050821
PF3D7_0620700;0.641680637;0.653444698;0.38282579;0.5656064205;0.362255351;0.3170176675;0.2895263215;0.23536592;0.162311181;0.162311181
PF3D7_0621000;-0.3860377785;-0.190789362;-0.2534461175;-0.0150571455;-0.119843178;-0.0983069465;-0.4838903315;0.054785296;-0.391109473;-0.391109473
PF3D7_0621100;-1.342289658;-0.832960774333333;-0.423192654;-0.69339703;-0.63319518;-0.200728193666667;-0.858772457666667;-0.446361545;-0.101783063666667;-0.101783063666667
PF3D7_0621200;1.012262973;0.383572462;0.904154049;0.17695817;-0.118935577;-0.029359823;0.61368934;0.650313022;0.492346871;0.492346871
PF3D7_0621300;0.513682812;0.239655429;0.2167339;0.137941737;-0.0518392015;-0.0317944915;0.300057792;0.0702262255;0.01770734;0.01770734
PF3D7_0621400;-0.471096704;-0.44505009;-0.0765584645;-0.466049618;-0.09151653;-0.0526438335;-0.380165269;0.118109776;-0.110542826;-0.110542826
PF3D7_0621500;0.485667818;0.538639301;0.425989195;0.394073958;-0.033590773;-0.085429386;-0.076213239;0.335196198;0.172071627;0.172071627
