X;ArtTP1;ArtTP2;ArtTP3;ArtTP4;ArtTP5;ArtTP1c;ArtTP2c;ArtTP3c;ArtTP4c;ArtTP5c
PF3D7_0426000;-1.32833333333333;-0.0766666666666667;-0.9385;-0.77925;-1.966;-0.828;-0.57925;-0.9405;-1.05466666666667;-0.47525
PF3D7_0500100;-1.737;-1.11166666666667;-0.7205;-1.1675;-1.02325;-1.1025;-0.6205;-0.6595;-1.01425;-0.11925
PF3D7_0500200;-1;0.193;-0.158;0.546;0.524;-1.016;-0.392;-0.576;-0.851;-0.454
PF3D7_0500400;-2.237;0.249;-0.384;0.2265;-0.111;-0.8675;-0.206;-0.6;-1.2565;-0.4695
PF3D7_0500500;-0.768;-0.322;-0.585;-0.358;-0.068;-0.983;-0.061;-1.28;-0.464;-0.053
PF3D7_0500600;-0.089;0.276;-0.165;0.792;0.981;-0.379;0.485;-0.974;0.181;0.379
PF3D7_0500700;-0.1;0.462;0.284;0.195;0.075;0.036;0.085;-0.447;-0.569;-0.401
PF3D7_0500800;0.158666666666667;-0.073;0.512;0.485666666666667;0.139666666666667;-0.0306666666666667;0.110666666666667;-0.211333333333333;-1.31166666666667;-1.03533333333333
PF3D7_0500900;-0.2565;0.601;0.926;1.285;1.404;0.1475;0.563;0.4955;0.4565;0.653
PF3D7_0501200;-1.136;-0.5235;-0.926;-0.55;-0.8965;-1.094;-0.8805;-1.4275;-1.447;-2.2745
PF3D7_0501500;0.0295;0.145;-0.334;0.4315;0.52;0.3325;0.854;1.09;1.5955;2.062
PF3D7_0501600;-0.3775;0.202;0.1525;0.5605;0.893;-0.4735;0.7435;1.2855;1.9175;2.0465
PF3D7_0501700;-0.507;-0.2965;0.081;0.418;0.1355;-0.9095;0.002;0.04;-0.364;0.0845
PF3D7_0501800;0.5435;0.4105;1.0905;1.424;0.753;0.6565;0.8915;0.5;0.089;-0.1405
PF3D7_0502000;-0.2945;-0.236;0.1555;-0.398;-0.291;-0.646;0.003;-0.228;-1.306;-0.774
PF3D7_0502100;0.084;0.513;-0.417;-0.57;-0.483;0.014;0.549;-0.362;-0.024;-0.657
PF3D7_0502200;-0.56;-0.2535;0.0665;0.2975;-0.304;-0.879;-0.193;-0.606;-0.9125;-0.6925
PF3D7_0502300;0.225;-0.429;-0.203;0.172;-0.018;-0.238;-0.273;-0.292;-0.652;-0.397
PF3D7_0502400;-3.479;-1.5585;-1.927;-1.6435;-1.398;-3.1025;-0.645;-1.9855;-1.8845;-1.309
PF3D7_0502500;-0.5065;-1.344;-0.56;-1.2955;-1.381;-0.749;-0.5035;-0.5655;-0.928;-1.0725
PF3D7_0502700;-0.1835;0.446;-0.183;-0.5925;-0.458;0.158;-0.1205;-0.7675;-1.209;-1.2605
PF3D7_0502800;-1.078;0.281;-0.219;0.114;-0.58;-0.111;0.005;-0.213;-0.767;-0.549
PF3D7_0502900;0.417;0.801;-0.194;0.428;-0.173;0.605;0.441;0.423;0.113;-0.218
PF3D7_0503000;0.828;0.696;0.374;0.627;0.14;0.93;0.798;0.702;0.47;0.31
PF3D7_0503100;0.416;1.3615;0.64;1.5235;0.655;1.034;0.88;0.4295;-0.0365;-0.234
PF3D7_0503200;-0.0265;-0.158;0.4995;0.646;0.5795;0.117;0.632;0.457;0.0835;-0.143
PF3D7_0503300;-0.402;-0.27;-0.529;-0.496;-0.9;-0.129;-0.043;-0.302;-0.813;-0.867
PF3D7_0503400;-0.276;0.214;-0.032;-0.119;-0.534;-0.16;0.18;0.169;0.596;1.061
PF3D7_0503500;-0.967;-0.57;-0.256;0.0915;0.1535;-1.163;-0.277;-0.3635;-0.188;0.431
PF3D7_0503600;-2.9205;-1.337;-1.681;-0.873;-0.894;-2.58;-2.0565;-0.6435;0.4455;0.96
PF3D7_0503800;-0.809;-0.426;-1.739;-1.005;-1.393;-0.188;-0.025;-0.222;-0.954;-1.357
PF3D7_0503900;-0.136;-0.29;0.278;0.1565;-0.4545;-0.453;0.314;-0.559;-0.7715;-0.7245
PF3D7_0504000;-0.012;0.667;0.44725;0.212;-0.30625;-0.09025;0.15425;-0.14175;-0.5965;-0.65825
PF3D7_0504100;-0.679;-0.239;-0.141;-0.212;-0.256;-0.616;-0.109;-0.18;-0.034;0.216
PF3D7_0504200;-0.2375;0.5805;0.1955;0.941;0.42;-0.175;0.025;0.0135;-0.3705;-0.00700000000000001
PF3D7_0504300;-0.965;0.09;-0.272;-0.107;-0.557;-0.462;-0.353;-0.09;-0.557;-0.316
PF3D7_0504400;0.2105;0.176;0.472;0.379;0.445;0.1895;0.6115;0.1225;-0.285;-0.4695
PF3D7_0504500;1.848;-0.209;-0.12;-0.674;0.267;0.07;0.49;0.034;-0.258;-0.421
PF3D7_0504600;0.418;0.704;0.949;1.559;1.2025;0.547;1.0875;1.074;1.002;0.902
PF3D7_0504700;-0.52425;0.18975;0.65025;0.3135;-0.207;-0.45875;-0.01425;-0.29925;-1.371;-0.4825
PF3D7_0504800;0.63675;1.09975;1.194;1.29966666666667;0.90575;0.565625;1.087;0.969;0.495375;0.360625
