X;CycTP1;CycTP1.2;CycTP2;CycTP3;CycTP3.2;CycTP4;CycTP5;CycTP5.2;CycTP6;CycTP1c;CycTP1.2c;CycTP2c;CycTP3c;CycTP3.2c;CycTP4c;CycTP5c;CycTP5.2c;CycTP6c
PF3D7_0807600;-0.576075841;-0.580324471;-0.555127228;-0.478611355;-0.602582291;-0.671940373;-0.756757053;-0.057550205;-0.723721965;-0.320843187;-0.167210414;-0.398675051;0.019861025;-0.013885557;-0.594568221;-0.382235342;-0.547280657;-0.133724944
PF3D7_0807800;0.2415623665;0.188744203;0.320864034;0.2176813365;0.165306287;0.0698098905;0.0779588165;0.1950995875;0.1211174075;0.159016402;0.1642538955;0.0877738085;0.131567359;0.1371474555;-0.0406743105;-0.125153789;-0.0132370355;-0.3643349975
PF3D7_0808000;0.156688608;0.343307241;0.159639298;0.362927165;0.33189805;0.170287201;-0.439590206;0.073861819;-0.126198537;-0.112370598;-0.18890562;-0.373061148;-0.248557245;-0.290552842;-0.170425702;0.020472418;0.00073877;-0.130677585
PF3D7_0808200;1.240760901;1.550841523;1.429801544;2.105249271;2.122051275;2.537216809;1.532660576;1.982062107;2.259222699;1.893151311;1.776984942;2.244701165;2.710629335;2.857663739;4.103371177;4.122490807;4.250657849;3.729635182
PF3D7_0808300;-1.031313367;-1.1276655;-0.823002826;-0.571173145;-0.344694855;-0.617608265;-0.542470695;-0.455574015;-0.528983271;0.235376579;-0.004927655;0.263010877;0.27779468;0.309827348;-0.017906034;-0.416063209;-0.482187118;-0.177187084
PF3D7_0808900;-0.32885764;-0.441048194;-0.87969465;-0.39522591;-0.198618094;0.006863801;-0.352407009;-0.326132445;-0.091980498;0.187662357;-0.062906176;0.093203545;0.166675094;-0.339746658;-0.117979783;-0.118162652;-0.346861846;-0.270253437
PF3D7_0809200;-1.15763871333333;-1.16825840566667;-1.05390094166667;-1.25051153633333;-1.42264662233333;-1.25844148733333;-0.961978167333333;-0.936561736;-1.168093176;-0.606214114;-0.513031113666667;-0.642311956333333;-0.286472888;-0.314324464666667;-0.398587677333333;-0.286807314333333;-0.32235805;-0.112903831
PF3D7_0809400;-0.856683843;-1.026358229;-0.698911335;-0.566529783;-0.704676639;-0.075469068;-0.139280013;-0.532437886;-0.54096993;-0.2911364;-0.512723312;-0.566680863;-0.1817852;0.172850348;-0.547099245;0.19341336;-0.271373052;-0.097591631
PF3D7_0809500;-0.821277937;-0.751286905;-0.773255289;-0.593584438;-0.72749478;-0.635587208;-0.849810216;-0.505031527;-0.856075723;0.094548225;0.032937651;-0.109109679;0.101905188;0.086796345;0.392264297;0.320726852;0.185231034;0.232863087
PF3D7_0810000;0.028647931;0.028216084;0.264142754;-0.273077322;-0.230931329;-0.191204644;-0.578044671;-0.261490341;-0.452522716;-0.254759592;-0.482927862;-0.135472245;-1.151670557;-0.704250301;-0.734920032;-0.986520756;-0.966483096;-0.704245435
PF3D7_0810300;1.176860577;1.17991432;1.306890666;1.560299619;1.25567295;1.408021787;0.96722965;0.855210247;1.255270368;0.883950775;0.864578454;0.600912844;0.58091733;0.246925907;0.557598515;-0.11846501;-0.481212341;-0.451558725
PF3D7_0810600;0.137627833;0.22608956;-0.048255892;-0.399284173;-0.247509929;-0.823984173;-0.263751792;-0.160009139;-0.540575086;0.077955764;0.093890559;0.188205785;0.084791315;0.036412277;-1.100163108;-0.50854636;-0.421511517;-0.236885507
PF3D7_0810700;-0.572830098;-0.730298113;-0.606695127;-0.331322942;-0.088647759;-0.087648652;-0.908733449;-0.415014059;-0.55349314;-0.842670709;-0.719328692;-0.50339557;-0.21961359;-0.370574026;0.528395368;0.658488925;0.539698432;-0.216617558
PF3D7_0810800;-0.749569404;-1.331002443;-1.314263493;-1.510964861;-1.211731841;-1.552667318;-0.610400708;-0.94128077;-1.40800294;-0.705944877;-0.453268307;-0.529680174;-0.814121082;-0.196644467;-1.223622355;-0.42369337;-0.361763719;-0.565820956
PF3D7_0810900;1.301314876;0.778287437;1.189358806;1.269601347;1.204973322;1.241147044;0.532614918;1.113123621;1.230385003;1.152301131;1.39820977;1.530350673;0.563144967;1.105150299;0.585014631;0.203218302;0.495097544;0.44240579
PF3D7_0811000;0.763065374;0.961721096;1.416828126;1.120058291;1.140797595;1.322376165;1.073316912;0.726261157;0.735479613;0.895144213;0.817510519;1.120591561;0.308277528;0.368948729;-0.09374568;-0.302327875;-0.553002359;-0.299176098
