;variable;relative_importance;scaled_importance;percentage
406;PF13_0222;0,015831966;0,031103957;0,000349639
407;PF07_0038;0,015831314;0,031102676;0,000349625
408;PFL1280w;0,015813481;0,03106764;0,000349231
409;MAL13P1.40;0,015810452;0,031061689;0,000349164
410;PF10_0133;0,015799837;0,031040834;0,00034893
411;PFE1075c;0,015771796;0,030985745;0,00034831
412;PFL1795c;0,015771191;0,030984556;0,000348297
413;PF07_0097;0,015770042;0,030982298;0,000348272
414;PF10_0035;0,01576452;0,030971449;0,00034815
415;MAL7P1.113;0,015758823;0,030960257;0,000348024
416;PFB0835c;0,015757503;0,030957664;0,000347995
417;MAL13P1.28;0,015757091;0,030956854;0,000347986
418;PF11_0118;0,015750639;0,030944179;0,000347843
419;PFI0720w;0,015743165;0,030929494;0,000347678
420;MAL13P1.206;0,015708981;0,030862335;0,000346923
421;PFD0665c;0,015703312;0,030851199;0,000346798
422;PFA0520c;0,015699639;0,030843982;0,000346717
423;PF11_0205;0,015690402;0,030825835;0,000346513
424;PF13_0098;0,01568876;0,030822609;0,000346477
425;MAL7P1.16;0,015681182;0,030807722;0,000346309
426;PFE1550w;0,015675922;0,030797388;0,000346193
427;PF13_0134;0,01566294;0,030771883;0,000345906
428;PFI1190w;0,015662076;0,030770185;0,000345887
429;PF14_0116;0,015647909;0,030742353;0,000345574
430;MAL8P1.82;0,015634166;0,030715352;0,000345271
431;PF14_0499;0,015628947;0,030705099;0,000345156
432;PF14_0217;0,015619238;0,030686025;0,000344941
433;PFF1345w;0,01561244;0,030672668;0,000344791
434;PFI0605c;0,015605484;0,030659003;0,000344637
435;PF14_0713;0,015585812;0,030620355;0,000344203
436;PFL0115w;0,015563964;0,030577432;0,000343721
437;PF10_0132;0,015546771;0,030543655;0,000343341
438;PFI1355w;0,015545968;0,030542077;0,000343323
439;MAL13P1.116;0,015545746;0,030541641;0,000343318
440;PF13_0013;0,015542122;0,030534521;0,000343238
441;PFI0930c;0,015539564;0,030529494;0,000343182
442;MAL8P1.156;0,015533976;0,030518516;0,000343058
443;PFC0715c;0,015532916;0,030516435;0,000343035
444;PFC0095c;0,015504026;0,030459675;0,000342397
445;PF14_0121;0,015484449;0,030421213;0,000341964
446;PFE1040c;0,015481721;0,030415854;0,000341904
447;PF07_0092;0,015476427;0,030405454;0,000341787
448;PFL1525c;0,015460473;0,030374109;0,000341435
449;PFF0935c;0,015457067;0,030367419;0,00034136
450;PFC0240c;0,015405811;0,030266719;0,000340228
451;PFL0980w;0,015401294;0,030257845;0,000340128
452;PF14_0513;0,015393967;0,03024345;0,000339966
453;MAL13P1.122;0,015383348;0,030222587;0,000339732
454;PF10_0127;0,015382055;0,030220048;0,000339703
455;PFL0625c;0,015369741;0,030195855;0,000339431
456;PFC0385c;0,015336512;0,030130572;0,000338697
457;PF14_0112;0,015318201;0,030094597;0,000338293
458;PFB0375w;0,015317817;0,030093844;0,000338285
459;PF13_0088;0,015317624;0,030093464;0,00033828
460;PFL1645w;0,015313873;0,030086096;0,000338197
461;PFF0665c;0,015305239;0,030069133;0,000338007
462;PFE1375c;0,015291565;0,030042269;0,000337705
463;PFC0950c;0,015290914;0,030040989;0,00033769
464;MAL7P1.146;0,015286651;0,030032614;0,000337596
465;PFL0665c;0,01527075;0,030001374;0,000337245
