X;HDATP1;HDATP1.1;HDATP2;HDATP2.2;HDATP3;HDATP3.3;HDATP1c;HDATP1c2
PF3D7_0504100;-0.495;0.299;-0.546;0.602;0.519;0.506;-0.119;0.535
PF3D7_0504200;0.2015;0.446;0.012;0.557;0.4195;0.5155;0.1045;0.2465
PF3D7_0504300;0.564;0.179;0.335;-0.149;-0.006;NA;-0.065;-0.12
PF3D7_0504400;-1.0495;-0.495;-0.715;-0.389;-0.2315;-0.269;-0.2555;-0.391
PF3D7_0504500;-0.014;NA;NA;NA;NA;0.135;NA;0.227
PF3D7_0504600;-0.1145;0.311;-0.579;0.696;0.68;0.652;0.2975;0.675
PF3D7_0504700;1.3425;0.01375;0.7885;0.158;-0.1355;0.01775;0.00725;-0.09725
PF3D7_0504800;0.406444444444444;0.237777777777778;0.08;0.096;0.112444444444444;0.0512222222222222;-0.176333333333333;-0.204
PF3D7_0504900;1.077;0.634;0.432;0.496;0.437;0.512;-0.016;-0.005
PF3D7_0505000;0.0736;-0.085;-0.18025;-0.059;-0.1552;-0.096;-0.156;-0.2182
PF3D7_0505100;-0.9412;-0.3612;-0.81425;-0.1808;-0.3188;-0.384;-0.307;-0.1098
PF3D7_0505200;-0.5675;0.3905;-0.8045;0.477;0.737;0.386;0.385;0.2425
PF3D7_0505300;-0.504;0.2345;0.1795;0.2855;0.3595;0.1315;0.13;0.191
PF3D7_0505400;-1.6815;-0.2925;-1.8065;-0.027;-0.00700000000000001;-0.0385;0.093;0.201
PF3D7_0505500;-0.5365;-0.4335;-0.615;-0.3785;-0.403;-0.4345;-0.3305;-0.5385
PF3D7_0505600;0.183;NA;-0.192;0.324;0.039;NA;0.145;NA
PF3D7_0505700;-0.8875;-0.7495;-0.9505;-0.364;-0.1745;-0.137;0.089;0.066
PF3D7_0505800;0.048;-0.456;-0.079;-0.412;0.046;-0.222;0.354;0.137
PF3D7_0505900;-0.881;-0.294;-0.219;-0.605;-0.593;-0.609;-0.099;-0.885
PF3D7_0506000;-0.905;-0.329;0.173;-0.512;-0.279;-0.817;NA;-0.182
PF3D7_0506100;-0.931;NA;-0.378;-0.528;-0.367;-0.419;-0.162;-0.309
PF3D7_0506200;-0.56;0.137;0.267;-0.182;0.223;-0.219;-0.229;-0.136
PF3D7_0506300;-0.7445;-0.7405;-0.7885;-0.7045;-0.718;-0.7525;0.083;-0.099
PF3D7_0506400;NA;-3.629;NA;NA;NA;NA;NA;-0.212
PF3D7_0506500;0.8843;0.098;0.50145;-0.02965;-0.04285;-0.173875;0.1539;0.2025
PF3D7_0506700;-0.2905;-0.1285;-0.725;-0.195;-0.33;-0.2515;0.299;0.0945
PF3D7_0506800;-0.73;-0.222;-0.768;-0.068;-0.3285;-0.327;-0.036;-0.099
PF3D7_0506900;0.165;0.2725;-0.0985;0.37;0.4295;0.3015;0.1245;0.3165
PF3D7_0507000;0.172;-0.049;-0.237;-0.019;0.001;-0.044;0.356;0.257
PF3D7_0507100;-1.238;NA;-0.873;-0.954;-0.829;-0.95;-0.136;-0.563
PF3D7_0507200;-0.102;0.0335;-0.388;0.0655;0.1505;0.0595;-0.0015;0.2625
PF3D7_0507300;0.49;0.3845;0.6245;0.6395;0.546;0.5795;0.102;0.499
